event,event-href,event_title,event_start,event_text,event_image-src,event_end,event_category__Exposición__Museo Can Framis__Pintura__Arte local,event_organizer__Museo Can Framis,event_venue__Museo Can Framis,event_maplink__1,event_cost__5,event_id
,http://www.fundaciovilacasas.com/es/exposicion/gerard-mas,"Gerard Mas																			
				 - Gerard Mas",Lunes 19 | Septiembre - Domingo 18 | Diciembre,Inauguración a las 19:30 h,https://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A9790698.jpg,Lunes 19 | Septiembre - Domingo 18 | Diciembre,null,null,null,null,null,Lunes 19 | Septiembre - Domingo 18 | Diciembre
,http://www.fundaciovilacasas.com/es/exposicion/premio-de-pintura-2016,"Varios artistas
				 - Premio de Pintura 2016",Lunes 19 | Septiembre - Domingo 18 | Diciembre,Inauguración a las 19:30 h,https://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A9860217.jpg,Lunes 19 | Septiembre - Domingo 18 | Diciembre,null,null,null,null,null,Lunes 19 | Septiembre - Domingo 18 | Diciembre
