web-scraper-order,web-scraper-start-url,event_link,event_link-href,event_title,event_image-src,event_text,event_start,event_end,event_maplink__1,event_cost__12,event_organizer__MNAC,event_venue__MNAC,event_category__Exposición__MNAC__Arte Clásico__Próximas inauguraciones,event_id
1527239251-177,http://www.museunacional.cat/es/exposiciones-futuras,Habitación,http://www.museunacional.cat/es/habitacion,Habitación,http://www.museunacional.cat/sites/default/files/images/field_exibition_images/ad05144.jpg,null,09/01/18,10/01/18,null,null,null,null,null,Habitación
1527239249-176,http://www.museunacional.cat/es/exposiciones-futuras,"LIBERXINA, Pop y nuevas prácticas artísticas en Cataluña",http://www.museunacional.cat/es/el-arte-las-puertas-del-68-pop-y-nuevas-practicas-artisticas-en-catalu%C3%B1a,"LIBERXINA, Pop y nuevas prácticas artísticas en Cataluña",http://www.museunacional.cat/sites/default/files/images/field_exibition_images/norman_narotzky.jpg,null,11/16/2018,03/31/19,null,null,null,null,null,"LIBERXINA, Pop y nuevas prácticas artísticas en Cataluña"
