event_link,event_link-href,event_start,event_end,event_image-src,event_title1,event_title2,event_text,event_maplink__1,event_cost__0,event_category__Actividad__La Capella,event_organizer__La Capella,event_venue__La Capella,event_id
"Discurso Final","http://lacapella.bcn.cat/es/activitats/discurso-final","Martes, 6 Septiembre, 2016","Martes, 6 Septiembre, 2016","http://lacapella.bcn.cat/sites/default/files/styles/bildresumen/public/activitats/icub160622_016-pepherrero.jpg","Discurso Final","Anna Dot","El martes 6 de septiembre, a las 12 h, en La Capella, empezará el Discurso Final, una propuesta de oratoria que culmina y cierra Until I am no longer able to stand. Fruto de los numerosos ensayos que Anna Dot ha llevado a cabo en el Espai Cub durante el verano, el Discurso Final analiza la práctica filibusterista mediante estrategias de oralidad, resistencia física y bloqueo del acto de comunicación. La exposición se cerrará al terminar el Discurso Final, el cual, como toda práctica filibustera, tiene una duración indeterminada.","null","null","null","null","null","/es/activitats/discurso-final"
"Actividad complementaria de la exposición El misterio de Caviria // Antoni Hervàs","http://lacapella.bcn.cat/es/activitats/actividad-complementaria-de-la-exposici%C3%B3n-el-misterio-de-caviria-antoni-herv%C3%A0s","Domingo, 18 Septiembre, 2016","Domingo, 18 Septiembre, 2016","http://lacapella.bcn.cat/sites/default/files/styles/bildresumen/public/activitats/antoni.jpg","Actividad complementaria de la exposición El misterio de Caviria // Antoni Hervàs","Antoni Hervàs","Actuación de Gerard López, campeón de España masculino sénior de gimnasia rítmica, en la antigua sede de la sala de fiestas Copacabana. Música de Norman Bambi.","null","null","null","null","null","/es/activitats/actividad-complementaria-de-la-exposici%C3%B3n-el-misterio-de-caviria-antoni-herv%C3%A0s"
