event_title,event_start,event_end,event_image-src,event_text,event_link,event_link-href,event_id,event_maplink__1,event_organizer__Fundación Joan Miró,event_venue__Fundación Joan Miró,event_cost__7,event_category__Exposición__Fundación Joan Miró
La posibilidad de una isla,22/09/2017,11/09/2018,https://www.fmirobcn.org/media/upload/cache/e13_illa_slide_general_aaff2_150063035862_255.jpg,"El ciclo de exposiciones La posibilidad de una isla explora algunos de los significados simbólicos y socioculturales que las islas, espacios paradigmáticos de nuestro imaginario colectivo, han tenido a lo largo de los tiempos, con la voluntad de activar interrogaciones y reflexiones respecto a estos significados que sean pertinentes para nuestra contemporaneidad.","sobre ""La posibilidad de una isla""",https://www.fmirobcn.org/es/exposiciones/5725/la-posibilidad-de-una-isla,/es/exposiciones/5725/la-posibilidad-de-una-isla,null,null,null,null,null
Sumer y el paradigma moderno,28/10/2017,21/01/2018,https://www.fmirobcn.org/media/upload/cache/lecorbusier_150088804362_255.jpg,"La exposición Sumer y el paradigma moderno pone en conversación la creación mesopotámica y la obra de artistas modernos, sobre todo durante el período de entreguerras (1920-1945). Al mismo tiempo, quiere hallar una respuesta a la fascinación moderna por los hallazgos de Oriente Próximo antiguo.","sobre ""Sumer y el paradigma moderno""",https://www.fmirobcn.org/es/exposiciones/5727/sumer-y-el-paradigma-moderno,/es/exposiciones/5727/sumer-y-el-paradigma-moderno,null,null,null,null,null
Beehave,16/02/2018,20/05/2018,https://www.fmirobcn.org/media/upload/cache/beehave_01_150116622362_255.jpg,"Con Beehave, la Fundació Joan Miró invita a sus visitantes a descubrir el potencial de la apicultura urbana y profundizar en el debate actual sobre la importancia de los insectos polinizadores","sobre ""Beehave""",https://www.fmirobcn.org/es/exposiciones/5728/beehave,/es/exposiciones/5728/beehave,null,null,null,null,null
Joan Miró. Galería de antirretratos,18/07/2017,08/10/2017,https://www.fmirobcn.org/media/upload/cache/mambo_1978_aiguafort_i_aguatinta_114_3_x_73_9_cm_fundacio_joan_miro_barcelona_150123372664_255.jpg,"Joan Miró. Galería de antirretratos pretende poner de relieve la destreza y la libertad expresivas del artista como grabador, capaz de lograr, por medio del aguafuerte, el aguatinta o el carborundo, efectos matéricos y gestuales próximos a los de la pintura.","sobre ""Joan Miró. Galería de antirretratos""",https://www.fmirobcn.org/es/exposiciones/5729/joan-miro-galeria-de-antirretratos,/es/exposiciones/5729/joan-miro-galeria-de-antirretratos,null,null,null,null,null
Joaquim Gomis. Selección fotográfica,31/10/2017,28/01/2018,https://www.fmirobcn.org/media/upload/cache/gomis_150123907062_255.jpg,"Joaquim Gomis Serdañons (Barcelona, 1902-1991) fue empresario, fotógrafo, promotor artístico y el primer presidente de la Fundació Joan Miró. Durante más de cinco décadas, desarrolló una amplia producción fotográfica, que estuvo vinculada con los posicionamientos artísticos más avanzados de su época.","sobre ""Joaquim Gomis. Selección fotográfica""",https://www.fmirobcn.org/es/exposiciones/5730/joaquim-gomis-seleccion-fotografica,/es/exposiciones/5730/joaquim-gomis-seleccion-fotografica,null,null,null,null,null
