event_link,event_link-href,event_title,event_image-src,event_text,event_start,event_end,event_maplink__1,event_cost__4,event_organizer__Fundación Suñol,event_venue__Fundación Suñol,event_category__Exposición__Fundación Suñol__Arte contemporáneo,event_id
"Recorridos: Diálogos de la mirada
																					
										
																					27.04.2016",http://www.fundaciosunol.org/es/event/recorreguts-dialegs-de-la-mirada/?instance_id=2010,Recorridos: Diálogos de la mirada,http://www.fundaciosunol.org/wp-content/uploads/2016/04/bona-newsletter-710x350.jpg,"LO QUE SABES /

LO QUE SIENTES /

LO QUE PERCIBES /",12.04.2016,30.04.2016,null,null,null,null,null,Recorridos: Diálogos de la mirada
"Visitas comentadas: Diálogos de la mirada
																					
										
																					30.04.2016",http://www.fundaciosunol.org/es/event/visites-comentades-dialegs-de-la-mirada/?instance_id=1537,Visitas comentadas: Diálogos de la mirada,http://www.fundaciosunol.org/wp-content/uploads/2016/04/IMG_0118_Newsletter-710x350.jpg,La Fundació Suñol organiza durante el mes de abril dos visitas comentadas para público individual a la exposición Diálogos de la mirada.,21.04.2016,21.04.2016,null,null,null,null,null,Visitas comentadas: Diálogos de la mirada
