event_link,event_link-href,event_title,event_image-src,event_text,event_start,event_end,event_maplink__1,event_cost__0,event_organizer__La Virreina,event_venue__La Virreina,event_category__Exposición__La Virreina__Arte contemporáneo,event_id
"Cataluña en Venecia. SINGULARIDAD","http://ajuntament.barcelona.cat/lavirreina/es/exposiciones/cataluna-en-venecia-singularidad","Cataluña en Venecia. SINGULARIDAD","http://ajuntament.barcelona.cat/lavirreina/sites/default/files/styles/large/public/banner_barcelonacatlavirreina_groc_320x627_0.jpg","null","17.12.2015 - 14.02.2016","17.12.2015 - 14.02.2016","null","null","null","null","null","Cataluña en Venecia. SINGULARIDAD"
"Barcelona. La metrópolis en la era de la fotografía, 1860-2004","http://ajuntament.barcelona.cat/lavirreina/es/exposiciones/barcelona-la-metropolis-en-la-era-de-la-fotografia-1860-2004","Barcelona. La metrópolis en la era de la fotografía, 1860-2004","http://ajuntament.barcelona.cat/lavirreina/sites/default/files/styles/large/public/imatge_portadad_cataleg_r_9480-guerrero._0.jpg","null","null","null","null","null","null","null","null","Barcelona. La metrópolis en la era de la fotografía, 1860-2004"
