event_link,event_link-href,event_start,event_end,event_image-src,event_title1,event_title2,event_text,event_maplink__1,event_cost__0,event_category__Actividad__La Capella,event_organizer__La Capella,event_venue__La Capella,event_id
"Projecte Rosoum, estrategias para un cómic árabe independiente","http://lacapella.bcn.cat/es/activitats/projecte-rosoum-estrategias-para-un-c%C3%B3mic-%C3%A1rabe-independiente","Viernes, 27 Noviembre, 2015","Viernes, 27 Noviembre, 2015","http://lacapella.bcn.cat/sites/default/files/styles/bildresumen/public/activitats/portada_capella.jpg","Projecte Rosoum, estrategias para un cómic árabe independiente","Salah Malouli","Projecte Rosoum, estrategias para un cómic árabe independiente aborda el fenómeno del número creciente de publicaciones árabes independientes para adultos que reflexionan desde el lenguaje del cómic sobre la realidad política, social y cotidiana del mundo árabe. El proyecto reúne en Barcelona a cuatro conocidos dibujantes árabes (provenientes de Beirut, El Cairo, Túnez y Casablanca) con la finalidad de que elaboren viñetas conjuntamente, se pongan en relación con otros agentes del contexto local y exploren estrategias para la creación de una red artística entre los colectivos que producen cómic en lengua árabe.","null","null","null","null","null","/es/activitats/projecte-rosoum-estrategias-para-un-c%C3%B3mic-%C3%A1rabe-independiente"
"El visitant ideal d'una col·lecció sentimental","http://lacapella.bcn.cat/es/activitats/el-visitant-ideal-duna-col%C2%B7lecci%C3%B3-sentimental","Jueves, 19 Noviembre, 2015","Jueves, 19 Noviembre, 2015","http://lacapella.bcn.cat/sites/default/files/styles/bildresumen/public/activitats/el_visitant.jpg","El visitant ideal d'una col·lecció sentimental","null","El visitant ideal d’una col•lecció sentimental es un proyecto de investigación en torno a la colección y la figura de Frederic Marès. En el Museo Frederic Marès encontramos más de 50.000 objetos que forman una serie de conjuntos, como aparatos de medida, exvotos ibéricos, cabello, floreros de conchas… Estos y muchos otros elementos forman parte de la colección sentimental, fruto de la aparente arbitrariedad del sujeto que decide de qué consta su colección y cómo se visibiliza. La complejidad de esta colección plantea un enfrentamiento desde varias posturas metodológicas para obtener respuesta a la siguiente pregunta: ¿cuál puede ser la actitud del visitante ideal de una colección sentimental?","null","null","null","null","null","/es/activitats/el-visitant-ideal-duna-col%C2%B7lecci%C3%B3-sentimental"
