event_title2,event_start,event_text,event_image-src,event_end,event_category__Exposición__Museo Can Framis__Arte local,event_organizer__Museo Can Framis,event_venue__Museo Can Framis,event_maplink__1,event_cost__5,event_id,event_title1,event_link,event_link-href
Connexions,Jueves 17 | Septiembre  | 2015 - Domingo 13 | Diciembre  | 2015,"Escultor, impulsor del grupo —Cogul— que revolucionó el arte catalán y español durante la década de los sesenta, acercándolo a las neuvas tendencias plásticas —el constructivismo, el conceptualismo y el Pop Art—, Albert Coma Estadella (Lérida, 1933-91) describe, a partir de la combinación de elementos móviles y trouvés, un mundo objetual esquemático que alcanza la abstracción y el minimalismo. Coma Estadella trabaja la madera de manera que su color natural se altera y adquiere un cromatismo de factura pop, pero que conserva una cierta sobriedad que equilibra el conjunto, mostrándolo como el ejemplo arquetípico de obra acabada.",http://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A4010319.jpg,Jueves 17 | Septiembre  | 2015 - Domingo 13 | Diciembre  | 2015,null,null,null,null,null,es/exposicion/connexions2,Albert Coma Estadella,,http://www.fundaciovilacasas.com/es/exposicion/connexions2
Paisatges construïts,Jueves 21 | Enero  | 2016 - Domingo 24 | Abril  | 2016,"Haciendo honor al propósito de la sala, el Espai Volart 2 dedica un homenaje a la trayectoria del pintor y orfebre Jaume Mercadé (Valls, 1889-Barcelona, 1967). Con unos inicios vinculados al fauvismo, Mercadé se instaló en el Noucentisme e ideó creaciones impregnadas de una modernidad serena. “Paisatges construïts” (Paisajes construidos) recupera su voluntad ordenadora del paisaje, llena un vacío en nuestra historiografía y profundiza en el relato artístico de autores de todo el territorio catalán. Jaume Mercadé se mantuvo fiel a su tierra, Tarragona, y la convirtió en el motivo de sus trazos; hoy, musa y creador se confunden y se identifican en un realismo de factura clásica que se ha vuelto distintivo. La exposición está comisariada por J.F.Yvars, historiador y crítico de arte, ex director del IVAM, que ha dejado en el diario La Vanguardia y en más de una decena de títulos sus notables “notas de arte”.",http://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A845221.jpg,Jueves 21 | Enero  | 2016 - Domingo 24 | Abril  | 2016,null,null,null,null,null,es/exposicion/paisatges-construits,Jaume Mercadé,,http://www.fundaciovilacasas.com/es/exposicion/paisatges-construits
"Arquitectures, tipografies i altres volums",Jueves 21 | Enero  | 2016 - Domingo 24 | Abril  | 2016,"Ramon Enrich (Igualada, 1968), artista formado en los Estados Unidos —donde trabajó con David Hockney y también en el estudio de Julian Schnabel—, erige hábitats arquitectónicos, compactos y urbanos con trazos herederos del cubismo y una gama cromática vibrante. De aspecto inacabado, sus creaciones evocan espacios de la antigüedad y anticipan escenarios de grandes acontecimientos históricos. Hay influencies de Mies van der Rohe y Mondrian en su trabajo y una apuesta por el minimalismo de la forma en la reproducción de los no-lugares que caracterizan nuestro tiempo.",http://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A8554939.jpg,Jueves 21 | Enero  | 2016 - Domingo 24 | Abril  | 2016,null,null,null,null,null,es/exposicion/arquitectures-tipografies-i-altres-volums,Ramon Enrich,,http://www.fundaciovilacasas.com/es/exposicion/arquitectures-tipografies-i-altres-volums
