event_text,event_title2,event_title1,event_start,event_end,event_image-src,event_maplink__1,event_cost__0,event_organizer__Arts Santa Mónica,event_venue__Arts Santa Mónica,event_id,event_category__Exposición__Arts Santa Mónica,event_link,event_link-href
"Guillem Bayo, Clara Boj y Diego Díaz, Martin John Callanan, Grégory Chatonsky, Thierry Fournier, Varvara Guljajeva i Mar Canet, Rafael Lozano-Hemmer, Nicolas Maigret, Katie Paterson, Antoine Schmitt, Thomson and Craighead, Addie Wagenknecht, Carlo Zanni",Art en temps real,Real Time,28.01 - 10.04.2016,28.01 - 10.04.2016,http://artssantamonica.gencat.cat/web/sites/santamonica/.content/Imatge/exposicio/2015/M-real-time.jpg_1257054909.jpg,null,null,null,null,/es/detall/Real-Time.-Art-en-temps-real-00002,null,,http://artssantamonica.gencat.cat/es/detall/Real-Time.-Art-en-temps-real-00002
"Jorge Luis Borges, Julio Cortázar, Mark Saporta, Augusto and Haroldo de Campos, Apollinaire/Salvat Papasseit/Guillermo, Ana María Uribe, Ramon Dachs, Grupo 63, Oulipo Group, Christopher Strachey, Philippe Bootz, Michaelm, Joyce, Shelley Jackson, Marjorie Luesebrink, Deena Larsen, Ariana-Sophia Karsonis, Christine Wilks, Serge Bouchardon, Domenico Chiappe, Alison Clifford, Jaime Alejandro Rodríguez, Rui Torres, David Clark, Stuart Moulthrop, Luís Calvo/Pedro Valdeolmillos, Laura Borràs, Ton Ferret, Isaías Herrero, Berta Rubio, Màrius Sampere, Les formigues, Stephanie Strickland and Cynthia Lawson, Jörg Piringer, T.S. Eliot, Octavio Paz, Aya Karpinska, Erik Loyer, Bruno Nadeau, Bruno Nadeau,  Camille Utterback,  Noah Wardrip-Fruin,  Bryan Barrachina and Calamar e-kids, Jason Nelson,  Roderick Coover/Nick Montfort and Scoot, Eugenio Tisselli, María Mencia, Jerome Fletcher, Isaías Herrero",,Palabras pixeladas,28.01 - 10.04.2016,28.01 - 10.04.2016,http://artssantamonica.gencat.cat/web/sites/santamonica/.content/Imatge/exposicio/2015/M-paraules-pix.jpg_356955165.jpg,null,null,null,null,/es/detall/Paraules-pixelades-00002,null,,http://artssantamonica.gencat.cat/es/detall/Paraules-pixelades-00002
