event_link,event_link-href,event_title,event_start,event_end,event_image-src,event_text,event_venue__Museum Rietberg,event_organizer__Museum Rietberg,event_category__Museum Rietberg__Klassische Kunst__Ausstellung,event_id,event_cost__25
"Osiris","http://www.rietberg.ch/de-ch/ausstellungen/osiris.aspx","Osiris -  Das versunkene Geheimnis Ägyptens","10. Februar - 16. Juli 2017","10. Februar - 16. Juli 2017","http://www.rietberg.ch/media/917519/keyvisual_312px.jpg","Geborgen aus den Tiefen vor Ägyptens Mittelmeerküste: Die spektakuläre Ausstellung zeigt rund 300 Statuen und Kultgegenstände, Sarkophage und Götterbilder aus sechzehn Jahrhunderten. Sie stammen aus den legendären Städten Thonis-Herakleion und Kanopus, die im 8. Jahrhundert n. Chr. im Meer versanken. Alte Fragen finden dadurch eine Antwort.","null","null","null","Osiris -  Das versunkene Geheimnis Ägyptens","null"
"Indische Pahari-Malerei","http://www.rietberg.ch/de-ch/ausstellungen/pahari-malerei.aspx","null","null","null","http://www.rietberg.ch/media/522273/shop_kannon_10__1__180.jpg","während den Museumsöffnungszeiten","null","null","null","null","null"
