event_link,event_link-href,event_image-src,event_title,event_text,event_start,event_end,event_venue__Bildhalle,event_organizer__Bildhalle,event_category__Galerien__Ausstellung__Fotografie,event_cost__0,event_id
"Mehr zum Fotografen ›","http://www.bildhalle.ch/kuenstler/thomas-flechtner/","http://www.bildhalle.ch/fileadmin/user_upload/bilder/Thomas_Flechtner/Bloom__15_BildGross_490x355px.jpg","Thomas Flechtner – New Works","Born 1961 in Winterthur, Switzerland","null","null","null","null","null","null","Thomas Flechtner – New Works"
"Mehr zur Ausstellung ›","http://www.bildhalle.ch/ausstellungen/vorschau/sinje-dillenkofer-translocals/","http://www.bildhalle.ch/fileadmin/user_upload/bilder/SINJE_DILLENKOFER/CASE_66__2tlg_links_Stephanie__c_SinjeDillenkofer_BildGross_490x355.jpg","Sinje Dillenkofer – Translocals","Die Ausstellung TRANSLOCALS zeigt Innenansichten historischer und moderner Behältnisse, für die Sinje Dillenkofer in Sammlungen und musealen Archiven in Europa, zuletzt im Louvre Museum in Paris und dem TLMF in Innsbruck fotografiert hat.","null","null","null","null","null","null","Sinje Dillenkofer – Translocals"
