event_image-src,event_title1,event_title2,event_start,event_end,event_id,event_link,event_link-href,event_text,event_venue__TART, event_organizer__TART, event_category__Alternative Räume__Junge Kunst,event_cost__0
"http://tartart.ch/wp2/wp-content/uploads/2017/02/Screen-Shot-2017-02-08-at-2.13.19-PM.png","short show with JULIA GEISER","Julia Geiser","March
 02
 -
 March
 11","March
 02
 -
 March
 11","http://tartart.ch/exhibitions/short-show-with-julia-geiser/","short show with JULIA GEISER","http://tartart.ch/exhibitions/short-show-with-julia-geiser/","Am Donnerstag 3.03.2017, 18.00 Uhr wird Julia Geiser mit ihren Digitalcollagen in der TART für sechs Tage vertreten sein. Nicht nur, dass ihre Collagen diverse Büchereinbände, Tageszeitungen oder Magazine wie zB. Geo Wissen zieren, sie greifen in die Tiefe, thematisieren auch mal Unbequemes und sind zusätzlich unheimlich schön zu betrachten.
Vernissage: DO, 2. März 2017, 18.00-21.00 Uhr

Finissage: SA, 11. März 2017, 12.00-17.00 Uhr","null","null","null","null"
"http://tartart.ch/wp2/wp-content/uploads/2017/02/scheinra%CC%88umepatricsandri_barbezatvilletard_v3.jpg","SCHEINRÄUME","Barbezat-Villetard & Patric Sandri","March
 16
 -
 April
 01","March
 16
 -
 April
 01","http://tartart.ch/exhibitions/scheinraume/","SCHEINRÄUME","http://tartart.ch/exhibitions/scheinraume/","Barbezat-Villetard & Patric Sandri
In der Gruppenausstellung “Scheinräume” mit Barbezat-Villetard & Patric Sandri, die am Donnerstag, 16.03.2017, 18.00 Uhr eröffnet, geht es um Scheinräume, Zwischenräume und andere Raumerfahrungen. Durch teils unerwartete Raumeingriffe sollen die Positionen der Frage nach der Aneignung von Raum nachgehen.
Vernissage: Donnerstag, 16. März 2017, 18.00-21.00 Uhr","null","null","null","null"
