event_title2,event_start,event_text,event_image-src,event_end,event_base-url__http://www.fundaciovilacasas.com/es/exposiciones-y-actividades/museo-can-framis-barcelona/_m:3/,event_category__Exposición__Museo Can Framis,event_organizer__Museo Can Framis,event_venue__Museo Can Framis,event_maplink__1,event_cost__5,event_id,event_title1
"Art de Col·leccionar: Col·lecció de Ventura Garcés","16 marzo 2015- 19 julio 2015","La inclinación por el arte del reconocido abogado Ventura Garcés (Barcelona, 1930-2008) lo condujo a configurar una extensa colección que siempre se había mantenido en el ámbito privado y que, ahora, sus herederos han permitido dar a conocer, en homenaje a quien fue uno de los coleccionistas barceloneses más apasionados de las manifestaciones artísticas de la segunda mitad del siglo XX. Con un conocimiento del arte más vivido que erudito, Garcés reunió una colección que representa a corrientes figurativas de ascendencia novecentista, pero también experiencias matéricas como el arte pobre, el magicismo o el geometrismo. Obras de Hernàndez Pijuan, Amat, Aguilar, Agustí Puig, Lucio Muñoz, Feito, Millares, Saura, Bechtold, Pello Irazu, Alcaraz, Ruestes, Kiefer i Kounellis, entre otros autores, demuestran el “saber coleccionar” de este barcelonés cosmopolita.","http://www.fundaciovilacasas.com/_images/c_event/116/3902_m.jpg","16 marzo 2015- 19 julio 2015","null","null","null","null","null","null","Ventura Garcés
				
				Art de Col·leccionar: Col·lecció de Ventura Garcés","Ventura Garcés"
"Pintat el 2014","9 marzo 2015- 19 julio 2015","Manolo Ballesteros (Barcelona, 1965) es el autor de un arte intuitivo y de caràcter abstracto; a través de la uniformidad de los pigmentos y la reducción de los perfiles, consigue establecer juegos de complejidad geométrica, en los cuales la convergencia de formas redondeadas sobre fondo monocromático sumerge al espectador en una obra tan enérgica como dinámica. Incapaz de definir su obra, niega el título a sus trabajos y deja que la pintura se exprese a través del color, la forma y la pincelada; por sí misma. La exposición, en la que destaca la preeminencia del color, el gesto y la emoción, presenta las obras pintadas en el año 2014, doce aceites y dos papeles hechos a mano en la India.","http://www.fundaciovilacasas.com/_images/c_event/115/3952_m.jpg","9 marzo 2015- 19 julio 2015","null","null","null","null","null","null","Manolo Ballesteros
				
				Pintat el 2014","Manolo Ballesteros"
