"EVENT NAME","VENUE NAME","ORGANIZER NAME","START DATE","START TIME","END DATE","END TIME","ALL DAY EVENT?","CATEGORIES","EVENT COST","EVENT WEBSITE","SHOW MAP LINK?","SHOW MAP?","EVENT DESCRIPTION","EVENT IMAGE"
"El arte a las puertas del 68: Pop y nuevas prácticas artísticas en Cataluña","MNAC","MNAC","0/01/2017","","","",1,"Exposición, MNAC, Arte Clásico, Próximas inauguraciones","12","http://www.museunacional.cat/es/el-arte-las-puertas-del-68-pop-y-nuevas-practicas-artisticas-en-catalunya",1,1,"<p><img src='http://www.museunacional.cat/sites/default/files/images/field_exibition_images/norman_narotzky.jpg' width='228' height='182' alt='El arte a las puertas del 68: Pop y nuevas prácticas artísticas en Cataluña' /></p>","http://www.museunacional.cat/sites/default/files/images/field_exibition_images/norman_narotzky.jpg"
"Habitación","MNAC","MNAC","0/01/2017","","","",1,"Exposición, MNAC, Arte Clásico, Próximas inauguraciones","12","http://www.museunacional.cat/es/habitacion",1,1,"<p><img src='http://www.museunacional.cat/sites/default/files/images/field_exibition_images/ad05144.jpg' width='228' height='182' alt='Habitación' /></p>","http://www.museunacional.cat/sites/default/files/images/field_exibition_images/ad05144.jpg"
