event_link,event_link-href,event_title,event_image-src,event_text,event_start,event_end,event_maplink__1,event_cost__0,event_organizer__La Virreina,event_venue__La Virreina,event_category__Exposición__La Virreina__Arte contemporáneo,event_id
"Michael Snow. Secuencias","http://ajuntament.barcelona.cat/lavirreina/es/exposiciones/michael-snow-secuencias","Michael Snow. Secuencias","http://ajuntament.barcelona.cat/lavirreina/sites/default/files/styles/large/public/msnow_slidelength.jpg","null","09.07.2015 - 01.11.2015","09.07.2015 - 01.11.2015","null","null","null","null","null","Michael Snow. Secuencias"
"Writing Diffraction","http://ajuntament.barcelona.cat/lavirreina/es/exposiciones/writing-diffraction","Writing Diffraction","http://ajuntament.barcelona.cat/lavirreina/sites/default/files/styles/large/public/flropc1.jpg","La Virreina Centre de la Imatge se suma a una nueva edición del Festival LOOP Barcelona con la exposición Writing Diffraction – Obras de la colección de arte contemporáneo de la Fundação Leal Rios.","28.05.2015 - 05.07.2015","28.05.2015 - 05.07.2015","null","null","null","null","null","Writing Diffraction"
