event_link,event_link-href,event_title,event_image-src,event_text,event_start,event_end,event_maplink__1,event_cost__12,event_organizer__MNAC,event_venue__MNAC,event_category__Exposición__MNAC__Arte Clásico,event_id
"Ismael Smith, la belleza y los monstruos",http://www.museunacional.cat/es/ismael-smith-la-belleza-y-los-monstruos,"Ismael Smith, la belleza y los monstruos",http://www.museunacional.cat/sites/default/files/03._ismael_smith_home_i_arbre_1907._museu_nacional_dart_de_catalunya_0.jpg,null,17/11/2016,12/02/2017,null,null,null,null,null,"Ismael Smith, la belleza y los monstruos"
Marianne Breslauer,http://www.museunacional.cat/es/marianne-breslauer,Marianne Breslauer,http://www.museunacional.cat/sites/default/files/1._marianne_breslauer_schoolgirl_girona_1933._c_marianne_breslauer_fotostiftung_schweiz_winterthur_1.jpg,null,27/10/2016,31/01/2017,null,null,null,null,null,Marianne Breslauer
Picasso y el arte románico,http://www.museunacional.cat/es/picasso-y-el-arte-romanico,Picasso y el arte románico,http://www.museunacional.cat/sites/default/files/5._pablo_picasso_la_crucifixion_1932._paris_musee_picasso._c_rmn-grand_palais_beatrice_hatala_0.jpg,null,15/11/2016,19/02/2017,null,null,null,null,null,Picasso y el arte románico
"Ramon Casas y las sombras chinas de ""Els Quatre Gats"". Prácticas heterodoxas",http://www.museunacional.cat/es/ramon-casas-y-las-sombras-chinas-de-els-quatre-gats-practicas-heterodoxas,"Ramon Casas y las sombras chinas de ""Els Quatre Gats"". Prácticas heterodoxas",http://www.museunacional.cat/sites/default/files/invitacio_per_una_sessio_dombres_xineses_als_quatre_gats_2._biblioteca_joaquim_folch_i_torres_2.jpg,null,30/06/2016,31/10/2016,null,null,null,null,null,"Ramon Casas y las sombras chinas de ""Els Quatre Gats"". Prácticas heterodoxas"
Lluïsa Vidal,http://www.museunacional.cat/es/lluisa-vidal-0,Lluïsa Vidal,http://www.museunacional.cat/sites/default/files/01._lluisa_vidal_autorretrat._c._1899._museu_nacional_dart_de_catalunya.jpg,"Otra faceta muy relevante de la obra de Lluïsa Vidal es la pintura de género, muy característica de la pintora y en la que muestra con total naturalidad la vida cotidiana de las mujeres. Uno de los valores de estas escenas es, precisamente, esta visión genuina y excepcional de una mujer sobre el mundo de las mujeres.",22/09/2016,15/01/2017,null,null,null,null,null,Lluïsa Vidal
