event_link,event_link-href,event_title,event_start,event_end,event_image-src,event_text,event_venue__Museum Rietberg,event_organizer__Museum Rietberg,event_category__Museum Rietberg__Klassische Kunst__Ausstellung,event_id,event_cost__25
"Alice Boner in Indien","http://www.rietberg.ch/de-ch/ausstellungen/alice-boner.aspx","null","null","null","http://www.rietberg.ch/media/816195/cover_aliceboner_sidebarteaser.jpg","Katalog zur Ausstellung:","null","null","null","null","null"
"Carnage","http://www.rietberg.ch/de-ch/ausstellungen/carnage.aspx","null","null","null","","Über die Kuratorin:","null","null","null","null","null"
