event_link,event_link-href,event_title,event_start,event_end,event_image-src,event_text,event_cost__0,event_organizer__Art Container,event_venue__Art Container,event_category__Alternative Räume__Ausstellung__Zeitgenössische Kunst,event_id
"Subsurface scattering","http://artcontainer.ch/wp/?event=subsurface-scattering","Subsurface scattering","29.09.2017 - 25.10.2017","29.09.2017 - 25.10.2017","","Eventdauer: 
	29.09.2017 - 25.10.2017


von Thomas Knüsel und Lukas Geisseler
Vernissage am 29. September, 19 Uhr
In seinen Arbeiten bearbeitet Lukas Geisseler soziopolitische und ökonomische Fragen. Aus seinen Recherchen entstehen Zeichnungen, dieStrukturen globaler und lokaler Zusammenhänge nüchtern verknüpfen. So zeichnet er etwa in der Serie »displaced« die Linien von Waffenexporten aus der Schweiz und Asylgesuchen an die Schweiz über mehrere Jahre nach. 
Thomas Knüsel stellt Fragen zum Verhältnis subjektiver Wahrnehmung und wissenschaftlicher Gewissheit. Daraus entwickelt er Artefakte in unterschiedlichsten Medien. Diese Artefakte – „humanmadeobjects“ wie Modelle, Bilder und gefundene Gegenstände – stehen häufig in Verbindung mit einer Ästhetik, die in wissenschaftlichen Modellen und Visualisierungen zu finden ist. Seine Objekte eröffnen ein ambivalentes Feld zwischen Sinn und Sinnlichkeit.


Thomas Knüsel","null","null","null","null","Subsurface scattering |  artcontainer
    
       
    
	  



























 







 

    



	Skip to content
    
    


	
							
		
									


<style type=""text/css"">.easingslider-131 .easingslider-preload { display: none; } .easingslider-131 .easingslider-slide { display: none; } .easingslider-131 .easingslider-slide-1 { display: block !important; }</style>


<style type=""text/css"">.easingslider-209 .easingslider-preload { display: none; } .easingslider-209 .easingslider-slide { display: none; } .easingslider-209 .easingslider-slide-1 { display: block !important; }</style>


 
	
			
       
	

	
												
										
	
 
	
    

  	
      	
          
             
				
				
                Menu
               
				Skip to content
           
                ART CONTAINER PROJECT
Events
Artists / Curators
Location
Support / Feedback
Sponsors
Media
 
                               
			
			
            
			
		      
	

    




    
	




		

    
     
    
                
        
                       
                

	
		Subsurface scattering	

	
		
	Eventdauer: 
	29.09.2017 - 25.10.2017


von Thomas Knüsel und Lukas Geisseler
Vernissage am 29. September, 19 Uhr
In seinen Arbeiten bearbeitet Lukas Geisseler soziopolitische und ökonomische Fragen. Aus seinen Recherchen entstehen Zeichnungen, dieStrukturen globaler und lokaler Zusammenhänge nüchtern verknüpfen. So zeichnet er etwa in der Serie »displaced« die Linien von Waffenexporten aus der Schweiz und Asylgesuchen an die Schweiz über mehrere Jahre nach. 
Thomas Knüsel stellt Fragen zum Verhältnis subjektiver Wahrnehmung und wissenschaftlicher Gewissheit. Daraus entwickelt er Artefakte in unterschiedlichsten Medien. Diese Artefakte – „humanmadeobjects“ wie Modelle, Bilder und gefundene Gegenstände – stehen häufig in Verbindung mit einer Ästhetik, die in wissenschaftlichen Modellen und Visualisierungen zu finden ist. Seine Objekte eröffnen ein ambivalentes Feld zwischen Sinn und Sinnlichkeit.


Thomas Knüsel

			
	
			

           
                       
                         
      
      
      
        Öffnungszeiten			
   

Mittwoch, Freitag  15 - 19 Uhr




   



		VeranstaltungenSubsurface scattering

29.09.2017 - 25.10.2017Ein Kopfdrehen - es ist windstill

03.11.2017 - 30.11.2017Veranstaltungen-ArchivHomage to Béjart and Dance  /  Summer Scrapbook

25.08.2017 - 23.09.2017I am living the experience

23.06.2017 - 20.07.2017HIDDEN FACES

21.05.2017 - 15.06.2017Illusions-Raum

09.12.2016 - 28.02.2017NUR WORTE!

02.12.2016 - 08.12.2016Steinzeit - Zukunft

28.10.2016 - 24.11.2016sustain / obtain / maintain / retain

30.09.2016 - 21.10.2016nuevemilcuarentaycuatro - 9044

01.09.2016 - 23.09.2016assemblage

17.08.2016 - 25.08.2016Outfit

16.06.2016 - 21.07.2016Blickfelder

02.06.2016 - 12.06.2016#safepassage / nächster Halt Toni

27.04.2016 - 26.05.2016Inflatable Wind Tunnel

06.04.2016Black Box & White Cube

18.11.2015 - 04.12.2015Ephemeres Material - Der Duft in der Schweizer Kunst: 3 Positionen

21.10.2015 - 13.11.2015NO EXIT

23.09.2015 - 16.10.2015      
      
          




    




    

    
    
                


        
        
			ART CONTAINER PROJECT
Event List
Location
Support the Project
        
        
            
	
			
       
	
 
        
        
            Copyright © 
            2017 artcontainer.ch. All rights reserved.               Webdesign: ps | Painting: Martina Baldinger & Ueli Nater"
"Ein Kopfdrehen - es ist windstill","http://artcontainer.ch/wp/?event=ein-kopfdrehen-es-ist-windstill","Ein Kopfdrehen – es ist windstill","03.11.2017 - 30.11.2017","03.11.2017 - 30.11.2017","http://artcontainer.ch/wp/wp-content/uploads/2017/06/Ewald_Buenter_png.png","Eventdauer: 
	03.11.2017 - 30.11.2017












von Franziska Ewald und Renata Bünter
Franziska Ewald reflektiert die innere Verletzlichkeit des Menschen und dessen Beziehung zu einer Welt, die geprägt ist durch Schnelllebigkeit und Konsum. Sie setzt  dabei Malerei, Druckgraphik, Fotografie, Installation und Sound ein. Die Gleichwertigkeit der Materialität spielt in ihren Arbeiten eine wichtige Rolle. So verweben sich Figur und Raum zu einem einzigen Klangteppich. 
Renata Bünter ist Bildhauerin, Zeichnerin, Autorin und Videokünstlerin. Den unterschiedlichen Medien gemeinsam ist das zentrale Thema der Erinnerung – immer wieder werden Bilder dazu evoziert, mit den Mitteln der Skulptur, der Sprache, der Fotografie, in Zeichnungen oder Videos. Eng verbunden mit der Erinnerung sind autobiografische Sujets. Bünter schafft Zeit- und Erinnerungsbilder, die manchmal Dokument-Charakter erreichen. Das Flüchtige, Fragile ist typisch für ihre Arbeitsweise. Versatzstücke werden angeboten, Hinweise gelegt, doch vieles bleibt bewusst in der Schwebe.
www.franziskaewald.ch

www.renatabuenter.ch","null","null","null","null","Ein Kopfdrehen – es ist windstill |  artcontainer
    
       
    
	  



























 






 

    



	Skip to content
    
    


	
							
		
									


<style type=""text/css"">.easingslider-131 .easingslider-preload { display: none; } .easingslider-131 .easingslider-slide { display: none; } .easingslider-131 .easingslider-slide-1 { display: block !important; }</style>


<style type=""text/css"">.easingslider-209 .easingslider-preload { display: none; } .easingslider-209 .easingslider-slide { display: none; } .easingslider-209 .easingslider-slide-1 { display: block !important; }</style>


 
	
			
       
	

	
												
										
	
 
	
    

  	
      	
          
             
				
				
                Menu
               
				Skip to content
           
                ART CONTAINER PROJECT
Events
Artists / Curators
Location
Support / Feedback
Sponsors
Media
 
                               
			
			
            
			
		      
	

    




    
	




		

    
     
    
                
        
                       
                

	
		Ein Kopfdrehen – es ist windstill	

	
		
	Eventdauer: 
	03.11.2017 - 30.11.2017












von Franziska Ewald und Renata Bünter
Franziska Ewald reflektiert die innere Verletzlichkeit des Menschen und dessen Beziehung zu einer Welt, die geprägt ist durch Schnelllebigkeit und Konsum. Sie setzt  dabei Malerei, Druckgraphik, Fotografie, Installation und Sound ein. Die Gleichwertigkeit der Materialität spielt in ihren Arbeiten eine wichtige Rolle. So verweben sich Figur und Raum zu einem einzigen Klangteppich. 
Renata Bünter ist Bildhauerin, Zeichnerin, Autorin und Videokünstlerin. Den unterschiedlichen Medien gemeinsam ist das zentrale Thema der Erinnerung – immer wieder werden Bilder dazu evoziert, mit den Mitteln der Skulptur, der Sprache, der Fotografie, in Zeichnungen oder Videos. Eng verbunden mit der Erinnerung sind autobiografische Sujets. Bünter schafft Zeit- und Erinnerungsbilder, die manchmal Dokument-Charakter erreichen. Das Flüchtige, Fragile ist typisch für ihre Arbeitsweise. Versatzstücke werden angeboten, Hinweise gelegt, doch vieles bleibt bewusst in der Schwebe.
www.franziskaewald.ch

www.renatabuenter.ch

			
	
			

           
                       
                         
      
      
      
        Öffnungszeiten			
   

Mittwoch, Freitag  15 - 19 Uhr




   



		VeranstaltungenSubsurface scattering

29.09.2017 - 25.10.2017Ein Kopfdrehen - es ist windstill

03.11.2017 - 30.11.2017Veranstaltungen-ArchivHomage to Béjart and Dance  /  Summer Scrapbook

25.08.2017 - 23.09.2017I am living the experience

23.06.2017 - 20.07.2017HIDDEN FACES

21.05.2017 - 15.06.2017Illusions-Raum

09.12.2016 - 28.02.2017NUR WORTE!

02.12.2016 - 08.12.2016Steinzeit - Zukunft

28.10.2016 - 24.11.2016sustain / obtain / maintain / retain

30.09.2016 - 21.10.2016nuevemilcuarentaycuatro - 9044

01.09.2016 - 23.09.2016assemblage

17.08.2016 - 25.08.2016Outfit

16.06.2016 - 21.07.2016Blickfelder

02.06.2016 - 12.06.2016#safepassage / nächster Halt Toni

27.04.2016 - 26.05.2016Inflatable Wind Tunnel

06.04.2016Black Box & White Cube

18.11.2015 - 04.12.2015Ephemeres Material - Der Duft in der Schweizer Kunst: 3 Positionen

21.10.2015 - 13.11.2015NO EXIT

23.09.2015 - 16.10.2015      
      
          




    




    

    
    
                


        
        
			ART CONTAINER PROJECT
Event List
Location
Support the Project
        
        
            
	
			
       
	
 
        
        
            Copyright © 
            2017 artcontainer.ch. All rights reserved.               Webdesign: ps | Painting: Martina Baldinger & Ueli Nater"
