event_link,event_link-href,event_title,event_image-src,event_text,event_start,event_end,event_maplink__1,event_cost__12,event_organizer__MNAC,event_venue__MNAC,event_category__Exposición__MNAC__Arte Clásico,event_id
"Ismael Smith, the beauty and the monsters","http://www.museunacional.cat/en/ismael-smith-beauty-and-monsters","Ismael Smith, the beauty and the monsters","http://www.museunacional.cat/sites/default/files/03._ismael_smith_home_i_arbre_1907._museu_nacional_dart_de_catalunya.jpg","null","03/11/2016","05/02/2017","null","null","null","null","null","Ismael Smith, the beauty and the monsters"
"Donation Antonio Gallardo Ballart. New masterpieces for the museum","http://www.museunacional.cat/en/works-antonio-gallardo-ballarts-collection","Donation Antonio Gallardo Ballart. New masterpieces for the museum","http://www.museunacional.cat/sites/default/files/01_anonim._castella._pintures_de_tubilla_del_agua._angels_en_lluita_amb_el_drac_s._xii._diposit_de_la_generalitat_de_catalunya_dacio_gallardo_2015._mnac_3.jpg","null","17/03/2016","03/07/2016","null","null","null","null","null","Donation Antonio Gallardo Ballart. New masterpieces for the museum"
"The Divine Morales","http://www.museunacional.cat/en/divine-morales","The Divine Morales","http://www.museunacional.cat/sites/default/files/virgen_de_la_leche_morales.jpg","null","17/06/2016","25/09/2016","null","null","null","null","null","The Divine Morales"
"Picasso and the Romanesque Art","http://www.museunacional.cat/en/picasso-and-romanesque-art","Picasso and the Romanesque Art","http://www.museunacional.cat/sites/default/files/5._pablo_picasso_la_crucifixion_1932._paris_musee_picasso._c_rmn-grand_palais_beatrice_hatala.jpg","null","17/11/2016","19/02/2017","null","null","null","null","null","Picasso and the Romanesque Art"
"Marianne Breslauer","http://www.museunacional.cat/en/marianne-breslauer","Marianne Breslauer","http://www.museunacional.cat/sites/default/files/1._marianne_breslauer_schoolgirl_girona_1933._c_marianne_breslauer_fotostiftung_schweiz_winterthur_1.jpg","null","26/10/2016","31/01/2017","null","null","null","null","null","Marianne Breslauer"
"Ramon Casas and ""Els Quatre Gats"" Chinese shadows. Unorthodox practices","http://www.museunacional.cat/en/ramon-casas-and-els-quatre-gats-chinese-shadows-unorthodox-practices","Ramon Casas and ""Els Quatre Gats"" Chinese shadows. Unorthodox practices","http://www.museunacional.cat/sites/default/files/invitacio_per_una_sessio_dombres_xineses_als_quatre_gats_2._biblioteca_joaquim_folch_i_torres_2.jpg","(1866-1932).","30/06/2016","31/10/2016","null","null","null","null","null","Ramon Casas and ""Els Quatre Gats"" Chinese shadows. Unorthodox practices"
"Lluïsa Vidal","http://www.museunacional.cat/en/lluisa-vidal-0","Lluïsa Vidal","http://www.museunacional.cat/sites/default/files/01._lluisa_vidal_autorretrat._c._1899._museu_nacional_dart_de_catalunya.jpg","null","23/09/2016","15/01/2017","null","null","null","null","null","Lluïsa Vidal"
