event_link,event_link-href,event_image-src,event_title,event_text,event_start,event_end,event_venue__Bildhalle,event_organizer__Bildhalle,event_category__Galerien__Ausstellung__Fotografie,event_cost__0,event_id
"Mehr zur Ausstellung ›","http://www.bildhalle.ch/ausstellungen/vorschau/rene-burri-kosmopolit/","http://www.bildhalle.ch/fileadmin/user_upload/bilder/Rene_Burri/Kosmopolit/Ministry_233x372px.jpg","RENÉ BURRI – KOSMOPOLIT","Die Bildhalle freut sich, in enger Zusammenarbeit mit der Familie Burri für den Saisonauftakt 2017/18 die erste Einzelausstellung seit dem Tod des wohl bekanntesten und verehrtesten Schweizer Fotografen ankündigen zu dürfen und somit diesem «Humanisten mit Kamera» gebührend zu gedenken.","null","null","null","null","null","null","RENÉ BURRI – KOSMOPOLIT"
"Mehr zur Ausstellung ›","http://www.bildhalle.ch/ausstellungen/vorschau/rene-groebli-das-magische-auge/","http://www.bildhalle.ch/fileadmin/user_upload/bilder/Rene_Groebli/Das_Magische_Auge/732_233x372px.jpg","René Groebli – Das magische Auge","René Groebli feiert im Oktober diesen Jahres seinen 90. Geburtstag, was die Bildhalle zum Anlass nehmen wird, diesen aussergewöhnlichen Schweizer Fotografen mit einer umfassenden Einzelausstellung zu ehren. Die in Zusammenarbeit mit Daniel Blochwitz kuratierte Ausstellung wird Arbeiten aus allen Schaffensperioden René Groeblis präsentieren. Dabei werden neben seinen legendären Frühwerken, wie “Das Auge der Liebe” oder “Magie der Schiene”, auch seine experimentellen und wegweisenden Bildfindungen zu Bewegung, Farbe oder Überblendung sowie unbekanntere oder in Vergessenheit geratene Werke, wie die Serien von Irland oder New York aus den späten 1970er Jahren, zu sehen sein.","null","null","null","null","null","null","René Groebli – Das magische Auge"
