web-scraper-order,web-scraper-start-url,event_link,event_link-href,event_title1,event_image-src,event_text,event_organizer__CCCB,event_maplink__1,event_cost__6,event_venue__CCCB,event_category__CCCB__Exposición__Próximas inauguraciones,event_id,event_title2,event_start,event_end
1516631575-13,http://www.cccb.org/es/exposiciones,Stanley Kubrick,http://www.cccb.org/es/exposiciones/ficha/stanley-kubrick/228237,Stanley Kubrick,http://www.cccb.org/rcs_gene/kubric.jpg,"Ante la nueva carrera armamentística nuclear y la inminencia de una catástrofe climática a gran escala, ¿Teléfono rojo? Volamos ha­cia Moscú (en inglés original, Dr. Strangelove) es una sátira política de máxima pertinencia. También lo es su final, con la frase «¿Qué pasaría si las mujeres dirigieran el mundo?». 2001 es todavía hoy la película más compleja que se ha hecho nunca sobre el destino de la humanidad y la inteligencia artificial. Y podríamos seguir hablando filme a filme de la actualidad del cine de Kubrick.",null,null,null,null,null,http://www.cccb.org/es/exposiciones/ficha/stanley-kubrick/228237,,18 octubre 2018 - 31 marzo 2019,18 octubre 2018 - 31 marzo 2019
1516631577-14,http://www.cccb.org/es/exposiciones,La luz negra,http://www.cccb.org/es/exposiciones/ficha/la-luz-negra/228235,La luz negra,http://www.cccb.org/rcs_gene/llumnegra.jpg,"Esta exposición analiza la influencia que diferentes tradiciones secretas han ejercido en el arte desde los años cincuenta hasta hoy. Son tradiciones que se pueden rastrear hasta los orígenes mismos de la civilización y que han servido en varios momentos para estructurar ideas filosóficas, lingüísticas, científicas y espirituales.",null,null,null,null,null,http://www.cccb.org/es/exposiciones/ficha/la-luz-negra/228235,"Tradiciones secretas en el arte desde los años 50: ocultismo, magia, esoterismo y misticismo",15 mayo - 21 octubre 2018,15 mayo - 21 octubre 2018
