web-scraper-order,web-scraper-start-url,event_link,event_link-href,event_title,event_image-src,event_text,event_start,event_end,event_maplink__1,event_cost__5,event_organizer__Museu del Disseny,event_venue__Museu del Disseny,event_category__Museu del Disseny__Design__Exhibition__Próximas inauguraciones,event_id
"1516632205-147","http://ajuntament.barcelona.cat/museudeldisseny/es/exposiciones-futuras","Más >","http://ajuntament.barcelona.cat/museudeldisseny/es/exposicion/design-does-lo-que-el-diseno-hace","Design does. Lo que el diseño hace","http://ajuntament.barcelona.cat/museudeldisseny/sites/default/files/styles/16_9_half_thumb/public/exhibition/logo.jpg?itok=cOXg8_Pe","Design does. Lo que el diseño hace es una exposición que dibuja, de forma colectiva, las fronteras de cómo el diseño da forma a los retos globales de nuestra sociedad, a veces para mejorar y otras, para todo lo contrario. Este es un proyecto que pretende trascender los límites del espacio, el tiempo y los formatos convencionales y que explora la responsabilidad del diseño en su impacto en la industria, en lo humano, en los sistemas sociales y en los valores culturales. Es un proyecto que se pregunta qué papel tiene y tendrá el diseñador, el de ser proveedor de soluciones, humanista, estratega y / o agente de cambio.
La exposición se articula mediante una batería de preguntas contestadas por 15 proyectos de diseñadores locales e internacionales que responden a principales retos de la actualidad: sostenibilidad, conectividad, marginación, consumismo, innovación y nuevos materiales, etc. De esta manera se quiere establecer un diálogo con la ciudadanía, favoreciendo la participación y la generación de conocimiento que alimente la práctica transdisciplinar del diseño. La exposición funcionará como un centro de operaciones que conectará un extenso programa de actividades e iniciativas.
Design does es una coproducción del Museu del Disseny de Barcelona y Elisava Escola Universitària de Disseny i Enginyeria de Barcelona.","23 / 03 / 2018","19 / 05 / 2018","null","null","null","null","null","Design does. Lo que el diseño hace
    
            Temporal
                  
		23 / 03 / 2018
			 - 
	19 / 05 / 2018"
"1516632203-146","http://ajuntament.barcelona.cat/museudeldisseny/es/exposiciones-futuras","Más >","http://ajuntament.barcelona.cat/museudeldisseny/es/exposicion/mobiliario-arqueado-de-la-madera-curvada-la-flexibilidad-del-ratan","Mobiliario arqueado. De la madera curvada a la flexibilidad del ratán","http://ajuntament.barcelona.cat/museudeldisseny/sites/default/files/styles/16_9_half_thumb/public/exhibition/bressol3_trans1.jpg?itok=s-YmtNR4","El trabajo de la madera curvada en el mobiliario centroeuropeo de finales del siglo XIX y principios del XX, la respectiva mirada de los productores locales con versiones propias, y el salto hacia el mobiliario hecho con ratán que se utiliza hoy en día en el diseño contemporáneo.","11 / 10 / 2018","11 / 11 / 2018","null","null","null","null","null","Mobiliario arqueado. De la madera curvada a la flexibilidad del ratán
    
            Temporal
                  
		11 / 10 / 2018
			 - 
	11 / 11 / 2018"
