event_link,event_link-href,event_title,event_image-src,event_text,event_start,event_end,event_maplink__1,event_cost__0,event_organizer__La Virreina,event_venue__La Virreina,event_category__Exposición__La Virreina,event_id
"Writing Diffraction","http://ajuntament.barcelona.cat/lavirreina/es/exposiciones/writing-diffraction","Writing Diffraction","http://ajuntament.barcelona.cat/lavirreina/sites/default/files/styles/large/public/flropc1.jpg","La Virreina Centre de la Imatge se suma a una nueva edición del Festival LOOP Barcelona con la exposición Writing Diffraction – Obras de la colección de arte contemporáneo de la Fundação Leal Rios.","28.05.2015 - 05.07.2015","28.05.2015 - 05.07.2015","null","null","null","null","null","Writing Diffraction"
"SOPHIE CALLE. MODUS VIVENDI","http://ajuntament.barcelona.cat/lavirreina/es/exposiciones/sophie-calle-modus-vivendi","SOPHIE CALLE. MODUS VIVENDI","http://ajuntament.barcelona.cat/lavirreina/sites/default/files/styles/large/public/ix_the_other-lautre_2.jpg","La Virreina Centre de la Imatge presenta Sophie Calle. Modus vivendi, una amplia retrospectiva de la artista francesa que recorre su obra desde mediados de la década de 1980 hasta la actualidad.","03.03.2015 - 07.06.2015","03.03.2015 - 07.06.2015","null","null","null","null","null","SOPHIE CALLE. MODUS VIVENDI"
