event_title1,event_start,event_end,event_maplink__1,event_cost,event_organizer,event_venue,event_category,event_id,event_link,event_link-href,event_full-description,event_date-time-separator__@,event_title2
"CSD Conservatori Superior de Dansa – Presentación de trabajos. MACBA se vive","18 junio","null","null","","MACBA","MACBA","Performance","http://www.macba.cat/es/csd-conservatori-superior-de-dansa-2016/1/actividades/activ","+info","http://www.macba.cat/es/csd-conservatori-superior-de-dansa-2016/1/actividades/activ","<p><img src=""http://www.macba.cat/uploads/20151019/pedagogia_foto_jordi_belver_redim_w744_h458.1.jpg"" width=""228"" height=""182"" alt=""CSD Conservatori Superior de Dansa - Presentación de trabajos. MACBA se vive"">El CSD, Conservatorio Superior de Danza del Institut del Teatre, apuesta por generar complicidades entre la escuela y los centros de creación y plataformas de difusión para poder ofrecer a los alumnos prácticas y experiencias en el contexto profesional, acercarlos a los diferentes escenarios y darles visibilidad como futuros bailarines y coreógrafos. En esta edición del programa MACBA se vive, se muestran trabajos creados en los talleres libres por estudiantes de distintos cursos de la especialidad de coreografía e interpretación.</p><p><a href=""http://www.macba.cat/es/csd-conservatori-superior-de-dansa-2016/1/actividades/activ"" target=""_blank"">+info</a></p>","null","null"
"Nieve Fuga – MACBA se vive","25 junio @ 19:00","null","null","","MACBA","MACBA","Performance","http://www.macba.cat/es/nieve-fuga/1/actividades/activ","+info","http://www.macba.cat/es/nieve-fuga/1/actividades/activ","<p><img src=""http://www.macba.cat/uploads/20160531/nieve_fuga.0.2.jpg"" width=""228"" height=""182"" alt=""Nieve Fuga - MACBA se vive"">Nieve Fuga es uno de los proyectos en solitario de Jorge Cantán, cuya relación con lo analógico se extiende desde su tienda Dosmil2000 a sus otros proyectos sonoros, Equipo Humano Uno –que desarrolla junto a Balbini (Mopno, STA, Bradien)– y Caer-Bien, con Natalia Ninou (Guinea Radio). 


Podemos definir su estilo como un collage sonoro, unas veces con una línea más de ambiente industrial y otras más cercano a la música concreta o la experimentación, todo ello pasado por un filtro lo-fi bajo el que se encuentra un sentido del humor suspendido en la oscuridad.</p><p><a href=""http://www.macba.cat/es/nieve-fuga/1/actividades/activ"" target=""_blank"">+info</a></p>","null","null"
