event_link,event_link-href,event_title,event_image-src,event_text,event_start,event_end,event_maplink__1,event_cost__4,event_organizer__Fundación Suñol,event_venue__Fundación Suñol,event_category__Exposición__Fundación Suñol__Arte contemporáneo__Próximas inauguraciones,event_id
"‘oriol vilapuig – La noche sexual’ vista por María Virginia Jaua i Valentín Roma
																					
										
																					13.06.2017",http://www.fundaciosunol.org/es/event/oriol-vilapuig-la-nit-sexual-vista-per-maria-virginia-jaua-i-valentin-roma/?instance_id=2701,‘oriol vilapuig – La noche sexual’ vista por María Virginia Jaua i Valentín Roma,http://www.fundaciosunol.org/wp-content/uploads/2017/06/DSC5918-710x350.jpg,"La Fundació Suñol organiza una visita comentada a la exposición oriol vilapuig – La noche sexual, a cargo de María Virginia Jaua y Valentín Roma, autores de los textos principales de la edición que completa el proyecto expositivo.",13.06.2017,13.06.2017,null,null,null,null,null,‘oriol vilapuig – La noche sexual’ vista por María Virginia Jaua i Valentín Roma
"Visita comentada: oriol vilapuig – La nit sexual
																					
										
																					10.06 - 10.07.2017",http://www.fundaciosunol.org/es/event/visita-comentada-oriol-vilapuig-la-nit-sexual/?instance_id=2676,Visita comentada: oriol vilapuig – La nit sexual,http://www.fundaciosunol.org/wp-content/uploads/2017/01/IMG_8666-710x350.jpg,"La Fundació Suñol organiza una visita comentada para público individual a la exposición oriol vilapuig – La nit sexual. Bajo este título tomado del libro homónimo de Pascal Quignard, la muestra recoge los últimos trabajos del artista, muchos de ellos inéditos hasta el momento. Se articula en siete ámbitos y un preámbulo siguiendo dos ejes: por un lado lo que se podría definir como formas de resistencia y supervivencia que inciden sobre ciertos sentimientos de pérdida y miedo, y por otro lado, los trabajos sobre el erotismo entendido como una forma de desborde entre una voluptuosidad extrema, el pudor y el espanto, insistiendo también en su aspecto sagrado y ontológico.",10.06. - 10.07.2017,10.06. - 10.07.2017,null,null,null,null,null,Visita comentada: oriol vilapuig – La nit sexual
