web-scraper-order,web-scraper-start-url,event_organizer,event_venue,event_text,event_title,event_link,event_link-href,event_facebooktime,event_maplink__1,event_cost__,event_category__,event_id,event_image-src
1535449215-3,https://www.artssspot.com/barcelona/face-pages-prov/,33 I 45,null,null,Eloizaga (The view behind the mountain),https://www.facebook.com/events/2196675073911172/,https://www.facebook.com/events/2196675073911172/,2018-09-13T11:00:00-07:00 to 2018-09-13T14:00:00-07:00,null,null,null,https://www.facebook.com/events/2196675073911172/,https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/40279771_2481199761905328_1949367625658138624_o.jpg?_nc_cat=0&oh=ce5dacc70492478e0bf51a45caa30df1&oe=5C37BEE2
1535449208-1,https://www.artssspot.com/barcelona/face-pages-prov/,Haimney,Haimney,"HAIMNEY #5: RETROSPECTIVA DE UN DALTÓNICO.

En galería el trabajo de Borja Casterad se mueve entre la fenomenología trascendental, el neo-pop y la teoría queer.

Sus obras están plagadas de personajes andróginos, travestis, hombres desnudos e iconos pop cuya mutación (y prostitución) nos remite a lo políticamente incorrecto y a nuestra limitada concepción del género. Así mismo, como consecuencia de su daltonismo, potencia y experimenta nuevos diseños desde su propia visión del color hasta dotarles de un tono único e irreversible. Por tanto, se trata de un nuevo concepto de armonía en el color que le permite ofrecer y regalar su particular percepción del mundo que le rodea. 


Concept store:
+ Tim Rudolph

Lado B:
+ Agustin Farias
+ Dani Lozano
+ Iara Kaumann Madelaire
+ Jiant
+ L'Bon Photographer

Cielo:
+ Pedro Perelman
+ Axtor Loc

Infierno:
+ Sol Del Futuro
+ Virginia Rovira Perez
+ 1RM4

Entrada gratuita.",Haimney #5: Borja Casterad,https://www.facebook.com/events/918955791633330/,https://www.facebook.com/events/918955791633330/,2018-09-07T10:00:00-07:00 to 2018-09-07T14:00:00-07:00,null,null,null,https://www.facebook.com/events/918955791633330/,https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/40279328_330031604232144_6220839367489880064_n.jpg?_nc_cat=0&oh=a0c0419604a0969d644df5a992fe8263&oe=5C317859
1535449240-7,https://www.artssspot.com/barcelona/face-pages-prov/,Haimney,Haimney,"LIMBO
Exposición de esculturas humanas de Adrián Pino Olivera

Jueves 27 de Septiembre de 19h30 — 21h
Galería Haimney — Lado B — Passatge de Sant Benet, 2.

""Me he caído y veo cosas... raíces, arbustos... ¿Nunca le pareció que las plantas sienten, meditan, hasta entienden...? No corren a ningún lado, nosotros corremos, azorados, decimos cosas banales. Es porque no creemos en la naturaleza que llevamos dentro. Todo es desconfianza, prisas, falta de tiempo para pensar"" (El Espejo, Andrei Tarkovski)

El performer Adrián Pino Olivera, más conocido por su polémico Proyecto V de desnudos en museos europeos, presenta en la galería Haimney una nueva exposición de esculturas humanas, tras “CTRL+V” (Àcid Sulfúric, abril 2018), “on el verb s’adorm” (Ca l’Agustí y Espai Freixas, mayo 2018) y “fem-nos fòssils” (El Cuarto del recreo y Mutuo – Centro de Arte, junio 2018). Se trata de instalaciones donde coloca personas vivas como obras de Arte, y que se caracterizan por su silencio y el uso de objetos comunes transformados en símbolos poéticos. A modo de ritual performance, los participantes que hacen de escultura permanecen quietos durante 1h y media. Se inspira esta vez en el reino vegetal, fascinado por la calma en la que viven las plantas, como en un limbo, palabra aquí con doble significado, pues define la lámina que cubre la hoja y también ese espacio entre la vida y la muerte en el que viven instalados los vegetales y que puede respirarse también en las esculturas de Pino Olivera. 

Colabora: Botánica Textil y Keef Palas.

+info:
https://haimney.com
https://apinoolivera.wordpress.com
http://www.botanicatextil.com
https://keefpalas.bigcartel.com

Entrada libre.",What's Happening #4 - Limbo,https://www.facebook.com/events/257202215118284/,https://www.facebook.com/events/257202215118284/,2018-09-27T10:00:00-07:00 to 2018-09-27T12:00:00-07:00,null,null,null,https://www.facebook.com/events/257202215118284/,https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/40309777_10217739605944885_7731361554263703552_n.jpg?_nc_cat=0&oh=8f9021675f7f58fe7766a4ee674568b6&oe=5BF79E7C
1535449222-5,https://www.artssspot.com/barcelona/face-pages-prov/,Espai Nauart,Espai Nauart,BIENVENIDO EN EL UNIVERSO ARTISTO DE MERT SEZGIN,Inauguracion Expo Individual Mert Sezgin,https://www.facebook.com/events/1843802325709998/,https://www.facebook.com/events/1843802325709998/,2018-09-15T10:00:00-07:00 to 2018-09-28T10:00:00-07:00,null,null,null,https://www.facebook.com/events/1843802325709998/,https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/40140018_2135067373419804_130722230211444736_n.jpg?_nc_cat=0&oh=198ee09c5aca95ddaa6e27d0696f3abc&oe=5BF94F52
1535449212-2,https://www.artssspot.com/barcelona/face-pages-prov/,Galería Valid Foto BCN,Galería Valid Foto BCN,Exposición con los cinco ganadores del certamen Barcelona International Photography Awards 2018 y proyección en pantalla de los trabajos finalistas,Inauguración BIPA 2018,https://www.facebook.com/events/456639798161237/,https://www.facebook.com/events/456639798161237/,2018-09-13T10:30:00-07:00 to 2018-09-13T13:30:00-07:00,null,null,null,https://www.facebook.com/events/456639798161237/,https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/40137706_10160685498515043_2775224785104273408_n.jpg?_nc_cat=0&oh=add03ab24e4e93c130785d26c2ad0911&oe=5C3659EB
1535449225-6,https://www.artssspot.com/barcelona/face-pages-prov/,REVISTART,null,"ESPACIO 120 celebra la 7ª edición de ARTBAHO en L'Hospitalet de Llobregat (Barcelona). Este nuevo concepto expositivo se concibe dentro de una inmensa oferta internacional de obras y firmas consagradas y emergentes, provenientes de diferentes parte del mundo que son epicentros del arte como Austria, Suecia, Estados Unidos, Dinamarca, Francia, Alemania, Italia, Noruega, China o Reino Unido, entre otros. 

Os invitamos a la inauguración de este gran evento artístico de cinco días de duración, en el que podréis disfrutar de lo mejor del arte actual representado por más de cien artistas de todo el mundo, acompañados por un celebrado vernissage y una acción performance.
  
INAUGURACIÓN: SÁBADO 22 DE SEPTIEMBRE A LAS 19:30 h
Entrada libre y gratuita hasta completar aforo
Del 22 al 26 de septiembre de 12 a 20 h",Artbaho 2018,https://www.facebook.com/events/1852869261462163/,https://www.facebook.com/events/1852869261462163/,2018-09-22T10:30:00-07:00 to 2018-09-26T11:00:00-07:00,null,null,null,https://www.facebook.com/events/1852869261462163/,https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/s720x720/39956103_1980368678672987_435653947470905344_o.jpg?_nc_cat=0&oh=224baef7453e06efa3480f97c6faf9b0&oe=5BFF6B71
1535449219-4,https://www.artssspot.com/barcelona/face-pages-prov/,137º,137º,null,Exposición: El Mundo del Té + Tallers Oberts de Poblenou,https://www.facebook.com/events/578262715909528/,https://www.facebook.com/events/578262715909528/,2018-09-14T08:00:00-07:00 to 2018-09-16T09:00:00-07:00,null,null,null,https://www.facebook.com/events/578262715909528/,https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/s720x720/40139577_1960908113970552_4549009655166140416_o.jpg?_nc_cat=0&oh=b82107876bb46ced01dbfbb3974e478d&oe=5C048AAF
