event_link,event_link-href,event_title1,event_image-src,event_text,event_organizer__CCCB,event_maplink__1,event_cost__6,event_venue__CCCB,event_category__CCCB__Exposición,event_id,event_title2,event_start,event_end
La Mercè 2017 en el CCCB,http://www.cccb.org/es/actividades/ficha/la-merce-2017-en-el-cccb/227329,La Mercè 2017 en el CCCB,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Como cada septiembre, las Fiestas de La Mercè llegan al CCCB. Este año la ciudad invitada es Reikiavik, que nos presenta el pop, rock, hip-hop y música electrónica hechos a la capital islandesa. Para acabar de sumergiros en la cultura de Islandia, podéis visitar la exposición Björk Digital a precio reducid (10 euros) o disfrutar de proyecciones gratuitas de cine islandés.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/la-merce-2017-en-el-cccb/227329,El Raval suena a Reykjavík,22 - 24 septiembre 2017,22 - 24 septiembre 2017
El gran teatro del mundo. La eclosión del teatro moderno en Europa,http://www.cccb.org/es/actividades/ficha/el-gran-teatro-del-mundo-la-eclosion-del-teatro-moderno-en-europa/227102,El gran teatro del mundo. La eclosión del teatro moderno en Europa,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","El tránsito entre los siglos XVI y XVII fue una época decisiva y apasionante en la cultura europea, ya que todas las grandes cuestiones que conformarían el mundo moderno se empezaron a perfilar entonces. En la literatura, el teatro fue el género que, por toda Europa, mejor reflejó las convulsiones políticas, religiosas, sociales y artísticas que se vivieron. Gonzalo Pontón y Andreu Jaume, dos buenos conocedores de la literatura de la época, comentarán la obra y el espíritu de los principales dramaturgos que escribieron en Inglaterra, España, Italia y Francia, desde Shakespeare y Marlowe hasta Lope de Vega, Calderón de la Barca, Cinzio o Molière, una constelación irrepetible de las letras europeas.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/el-gran-teatro-del-mundo-la-eclosion-del-teatro-moderno-en-europa/227102,A cargo de Andreu Jaume y Gonzalo Pontón,"11, 18 y 25 octubre, 8, 15, 22 y 29 noviembre, 13 y 20 diciembre 2017","11, 18 y 25 octubre, 8, 15, 22 y 29 noviembre, 13 y 20 diciembre 2017"
