web-scraper-order,web-scraper-start-url,event_link,event_link-href,event_title,event_image-src,event_text,event_start,event_end,event_maplink__1,event_cost__4,event_organizer__Fundación Suñol,event_venue__Fundación Suñol,event_category__Exposición__Fundación Suñol__Arte contemporáneo__Próximas inauguraciones,event_id
1523520747-150,http://www.fundaciosunol.org/es/exposiciones/exposiciones-futuras/exposicion-fundacio-sunol/,"ACTO 39: Antoni Abad
																					
										
																					10.05 - 07.09.2018",http://www.fundaciosunol.org/es/event/acte-39-antoni-abad/?instance_id=3086,ACTO 39: Antoni Abad,http://www.fundaciosunol.org/wp-content/uploads/2018/04/033-710x350.jpg,"La Fundació Suñol presenta el ACTO 39: Antoni Abad, un proyecto ideado específicamente para el Nivell Zero, que recoge las acciones realizadas por el artista Antoni Abad (Lleida, 1956) a partir de los años 90. Estos trabajos están directamente relacionados con la investigación personal llevada a cabo por Abad sobre los conceptos y usos de las medidas, el lenguaje y la relación existente entre ellos.",10.05. - 07.09.2018,10.05. - 07.09.2018,null,null,null,null,null,ACTO 39: Antoni Abad
1523520745-149,http://www.fundaciosunol.org/es/exposiciones/exposiciones-futuras/exposicion-fundacio-sunol/,"Daniel G. Andújar. Los desastres de la guerra
																					
										
																					30.05 - 28.09.2018",http://www.fundaciosunol.org/es/event/daniel-g-andujar-els-desastres-de-la-guerra/?instance_id=3079,Daniel G. Andújar. Los desastres de la guerra,http://www.fundaciosunol.org/wp-content/uploads/2018/02/19243298_1333261353459130_2245545873507313709_o-710x350.jpg,"La Fundació Suñol presenta el trabajo realizado por Daniel G. Andújar (Almoradí, 1966) con motivo de su participación en documenta14 en 2017. El proyecto se estructura como una protesta visual contra la violencia y una actualización de la representación del conflicto en la actualidad, mostrando como éste afecta a las personas.",30.05. - 28.09.2018,30.05. - 28.09.2018,null,null,null,null,null,Daniel G. Andújar. Los desastres de la guerra
