event_title,event_start,event_end,event_image-src,event_text,event_link,event_link-href,event_id,event_maplink__1,event_organizer__Fundación Joan Miró,event_venue__Fundación Joan Miró,event_cost__7,event_category__Exposición__Fundación Joan Miró
Un pie fuera. Expediciones y diásporas,24/09/2016,11/09/2017,http://www.fmirobcn.org/media/upload/gif/cache/e13_peuafora_imatgeweb_aaff_cat_1473156670_255.png,El ciclo del Espai 13 para el curso 2016-2017 presenta trabajos artísticos realizados desde la periferia de los circuitos habituales del arte contemporáneo en Barcelona.,"sobre ""Un pie fuera. Expediciones y diásporas""",http://www.fmirobcn.org/exposiciones/5709/un-pie-fuera-expediciones-y-diasporas,/exposiciones/5709/un-pie-fuera-expediciones-y-diasporas,null,null,null,null,null
Recortes urbanos,20/09/2016,15/01/2017,http://www.fmirobcn.org/media/upload/gif/cache/detalls_urbans_lluis_m_riera_1473160253_255.jpg,"Lluís Maria Riera, fotógrafo amateur estrechamente vinculado a la Fundació Joan Miró y a la Galeria Joan Prats, fue amigo de Miró, Tàpies y Brossa, entre otros artistas.","sobre ""Recortes urbanos""",http://www.fmirobcn.org/exposiciones/5716/recortes-urbanos,/exposiciones/5716/recortes-urbanos,null,null,null,null,null
