event_title,event_text,event_start,event_end,event_venue__Hangar,event_link,event_link-href,event_category__Actividad__Espacios alternativos__Taller,event_maplink__1,event_cost__null,event_id,event_image-src
Cápsulas de introducción a la vídeo creación,FORMACIÓN HAMACA-HANGAR,"20, 27 de octubre 3 ,10 de noviembre","20, 27 de octubre 3 ,10 de noviembre",null,,https://hangar.org/es/news/capsules-dintroduccio-al-video-de-creacio/,null,null,null,https://hangar.org/es/news/capsules-dintroduccio-al-video-de-creacio/,https://hangar.org/webnou/wp-content/uploads/2016/09/Foto-video-200x150.jpeg
Taller TRACKING FORENSICS | Joana Moll & Andrea Noni,"Lejos de ser una entidad puramente inmaterial, Internet se compone de una estructura extremadamente compleja construida por un número masivo de actores los cuales tienen un impacto directo y profundo en la configuración en nuestra vida diaria. A pesar de su rol principal en la configuración de la sociedad, las arquitecturas materiales e inmateriales encargadas de dar forma y operar la red son ignoradas por la mayoría de sus usuarios.","18, 19 y 20 de noviembre","18, 19 y 20 de noviembre",null,,https://hangar.org/es/workshops-artist2artists/taller-tracking-forensics-joana-moll-andrea-noni/,null,null,null,https://hangar.org/es/workshops-artist2artists/taller-tracking-forensics-joana-moll-andrea-noni/,https://hangar.org/webnou/wp-content/uploads/2016/07/MAP_3-200x150.jpg
