web-scraper-order,web-scraper-start-url,event_link,event_link-href,event_image-src,event_start,event_end,event_text,event_category__CaixaForum__Exposición__Próximas inauguraciones,event_maplink__1,event_organizer__CaixaForum,event_venue__CaixaForum,event_cost__4,event_id,event_title1
1537973639-5,https://caixaforum.es/es/barcelona/exposiciones?p_p_id=webcentrosexposicioneslistportlet_WAR_webcentrosexposicioneslistportlet&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_webcentrosexposicioneslistportlet_WAR_webcentrosexposicioneslistportlet_javax.portlet.action=searchLandingFormAction,Toulouse-Lautrec y el espíritu de Montmartre,https://caixaforum.es/es/barcelona/fichaexposicion?entryId=544677,/documents/20924/24359/expo+montmartre+cast+mini/3e5178ef-e730-825e-0694-9f1a70ddfc5b,Del 18 de octubre de 2018 al 20 de enero de 2019,Del 18 de octubre de 2018 al 20 de enero de 2019,"Las calles, los cabarets y los cafés del barrio de Montmartre fueron escenario de una explosión creativa, marcada por la bohemia y la vanguardia de la mano de jóvenes artistas e intelectuales que desafiaron a lo establecido. Henri de Toulouse-Lautrec (Albi, 1864 - Château Malromé, 1901) y otros artistas como Vincent van Gogh, Jean-Louis Forain, T. A. Steinlen, Pierre Bonnard o Édouard Vuillard contribuyeron a este florecimiento de un movimiento rompedor al margen de la burguesía.",null,null,null,null,null,fichaexposicion?entryId=544677,Toulouse-Lautrec y el espíritu de Montmartre
1537973636-4,https://caixaforum.es/es/barcelona/exposiciones?p_p_id=webcentrosexposicioneslistportlet_WAR_webcentrosexposicioneslistportlet&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_webcentrosexposicioneslistportlet_WAR_webcentrosexposicioneslistportlet_javax.portlet.action=searchLandingFormAction,"Max Beckmann. Leipzig, 1884 - Nueva York, 1950",https://caixaforum.es/es/barcelona/fichaexposicion?entryId=573200,/documents/20924/24359/max+beckmann+expo+cast+mini/491c3215-cc30-02b2-185c-58d84334ade2,Del 21 de febrero al 26 de mayo de 2019,Del 21 de febrero al 26 de mayo de 2019,"Realizada en colaboración con el Museo Nacional Thyssen-Bornemisza, la muestra plantea un recorrido temático por la obra de Max Beckmann (Leipzig, 1884 - Nueva York, 1950) dividido en dos secciones. La primera cubre la etapa en Alemania desde los años anteriores a la Primera Guerra Mundial, cuando comienza a ser reconocido, hasta el ascenso del fascismo en la década de 1930, cuando es expulsado de la escuela de arte de Frankfurt y se le impide exponer sus obras.",null,null,null,null,null,fichaexposicion?entryId=573200,"Max Beckmann. Leipzig, 1884 - Nueva York, 1950"
