event_title,event_text,event_start,event_end,event_venue__Hangar,event_link,event_link-href,event_category__Actividad__Espacios alternativos__Taller,event_maplink__,event_cost__-,event_id,event_image-src
EL JUEGO IDEAL. Taller a cargo de Constanza Mendoza,,"17, 19, 24 y 26 octubre 2016","17, 19, 24 y 26 octubre 2016",null,,https://hangar.org/es/news/espanol-el-juego-ideal-taller-a-cargo-de-constanza-mendoza/,null,null,null,https://hangar.org/es/news/espanol-el-juego-ideal-taller-a-cargo-de-constanza-mendoza/,https://hangar.org/webnou/wp-content/uploads/2016/07/box-ayl-big-1-200x150.jpg
Taller de Pure Data a cargo de Roc Jiménez de Cisneros,,"26, 27 y 28 septiembre","26, 27 y 28 septiembre",null,,https://hangar.org/es/hangar-sonor/taller-de-pure-data-a-carrec-de-roc-jimenez/,null,null,null,https://hangar.org/es/hangar-sonor/taller-de-pure-data-a-carrec-de-roc-jimenez/,https://hangar.org/webnou/wp-content/uploads/2016/06/PureData-SimpleSynthesizer-AudioTutorials-osc1-en-200x150.png
"Taller  la mujer y lo vegetal, un acercamiento al origen del imaginario inconsciente femenino a través del arte contemporáneo.","Taller de prácticas artísticas impartido por Valerie de la Dehesa, con Eulalia Valldosera y Roso Cusó","7, 8 y 9 octubre 2016","7, 8 y 9 octubre 2016",null,,https://hangar.org/es/news/espanol-taller-la-mujer-y-lo-vegetal-un-acercamiento-al-origen-del-imaginario-inconsciente-femenino-a-traves-del-arte-contemporaneo/,null,null,null,https://hangar.org/es/news/espanol-taller-la-mujer-y-lo-vegetal-un-acercamiento-al-origen-del-imaginario-inconsciente-femenino-a-traves-del-arte-contemporaneo/,https://hangar.org/webnou/wp-content/uploads/2016/06/lamujer1-200x150.png
Curso: El cine-ensayo (o la forma peligrosa de mezclar lo personal con el presente) a cargo de Andrés Duque,Este taller de creación audiovisual impulsado desde la colaboración entre HAMACA y HANGAR está dirigido a quienes deseen trabajar la forma del cine-ensayo como medio de expresión. El arte digital incita a preguntarnos ¿Qué hace el cine en estos tiempos? ¿Qué queda de su relación con lo real? ¿Por qué y para qué acumulo imágenes compulsivamente en el ordenador? ¿Qué puedo hacer con ellas?,"3, 4, 5, 6, 7, 13 y 14 octubre 2016","3, 4, 5, 6, 7, 13 y 14 octubre 2016",null,,https://hangar.org/es/news/curs-el-cinema-assaig-o-la-forma-perillosa-de-barrejar-allo-personal-amb-el-present-a-carrec-dandres-duque/,null,null,null,https://hangar.org/es/news/curs-el-cinema-assaig-o-la-forma-perillosa-de-barrejar-allo-personal-amb-el-present-a-carrec-dandres-duque/,https://hangar.org/webnou/wp-content/uploads/2015/07/IMG_0696-200x150.jpg
