web-scraper-order,web-scraper-start-url,event_link,event_link-href,event_title1,event_image-src,event_text,event_organizer__CCCB,event_maplink__1,event_cost__,event_venue__CCCB,event_category__CCCB__Actividad,event_id,event_title2,event_start,event_end
"1526029292-34","http://www.cccb.org/es/actividades/actuales/2","La Cuarta de Mahler","http://www.cccb.org/es/actividades/ficha/la-cuarta-de-mahler/228975","La Cuarta de Mahler","http://www.cccb.org/rcs_gene/EIC_copyright_Franck_Fervile_WEB.jpg","El Ensemble Intercontemporain de París es el grupo de música contemporánea más importante del mundo. Acaba de celebrar el 40 aniversario y nos visita para unirse a la OBC e interpretar una obra del barcelonés Héctor Parra. Mahler quedó prendado por la poesía de la recopilación de canciones antiguas Des Knaben Wunderhorn (El cuerno mágico del muchacho). Durante 20 años estuvo trabajando diferentes fragmentos de este libro y los convirtió en canciones y en obras sinfónicas. Kazushi Ono tiene la voluntad -ya iniciada el año pasado- de programar todas las obras de Mahler escritas alrededor de este mundo ""Wunderhorn"", y ahora nos ofrece la Sinfonía n.º 4.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/la-cuarta-de-mahler/228975","Descuento exclusivo para los Amigos del CCCB","19 y 20 mayo 2018","19 y 20 mayo 2018"
"1526029327-41","http://www.cccb.org/es/actividades","DocsBarcelona 2018","http://www.cccb.org/es/actividades/ficha/docsbarcelona-2018/229005","DocsBarcelona 2018","http://www.cccb.org/rcs_gene/DocsBarcelona_2018_web.jpg","El Festival Internacional de Cine Documental de Barcelona celebra su 21a edición del 16 al 27 de mayo, ofreciendo una selección de las mejores películas documentales del panorama internacional.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/docsbarcelona-2018/229005","Festival Internacional de Cine Documental","16 - 27 mayo 2018","16 - 27 mayo 2018"
"1526029295-35","http://www.cccb.org/es/actividades/actuales/2","Concierto Beethoven Heroico en el Palau de la Música Catalana","http://www.cccb.org/es/actividades/ficha/concierto-beethoven-heroico-en-el-palau-de-la-musica-catalana/228330","Concierto Beethoven Heroico en el Palau de la Música Catalana","http://www.cccb.org/rcs_gene/Beethoven..jpg","Concierto en el marco de la 20 temporada 2017 hasta 2018 ""Sinfónicos en el Palau"" con la Orquesta Sinfónica del Vallès organizado en coproducción con su socio principal, el Palau de la Música Catalana y el apoyo de la Ayuntamiento de Sabadell, donde se realiza también la temporada de conciertos sinfónicos.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/concierto-beethoven-heroico-en-el-palau-de-la-musica-catalana/228330","Descuento exclusivo para los Amigos del CCCB","19 mayo 2018","19 mayo 2018"
"1526029290-32","http://www.cccb.org/es/actividades/actuales/2","Visita el Mirador del CCCB","http://www.cccb.org/es/actividades/ficha/visita-el-mirador-del-cccb/222634","Visita el Mirador del CCCB","http://www.cccb.org/rcs_gene/mirador_4.jpg","Abrimos al público la Sala Mirador, els espacio más emblemático del Centro, situado en la quinta planta. A través de la fachada de cristal se puede contemplar Barcelona desde una perspectiva poco usual: el mar, el Barrio Gótico y Ciutat Vella, Montjuïc, el Tibidabo y la torre Collserola. Unas magníficas vistas sobre la ciudad de Barcelona. Entrada libre.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/visita-el-mirador-del-cccb/222634","Un espacio emblemático que permite disfrutar de magníficas vistas sobre la ciudad de Barcelona","6 y 20 mayo, 10 y 24 junio, 8 y 22 julio, 5, 12, 19 y 26 agosto, 2 y 23 septiembre, 7 octubre, 4 noviembre, 2 diciembre 2018","6 y 20 mayo, 10 y 24 junio, 8 y 22 julio, 5, 12, 19 y 26 agosto, 2 y 23 septiembre, 7 octubre, 4 noviembre, 2 diciembre 2018"
"1526029282-24","http://www.cccb.org/es/actividades/actuales/2","Creer en el siglo XXI","http://www.cccb.org/es/actividades/ficha/creer-en-el-siglo-xxi/228814","Creer en el siglo XXI","http://www.cccb.org/rcs_gene/foto_conf_casanova_1000_B.jpg","El sociólogo José Casanova analiza las nuevas formas que la religión adopta en el siglo XXI: ¿qué tienen estas creencias realmente de nuevo? ¿Por qué la ciencia no acaba de desbancar a la religión?","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/creer-en-el-siglo-xxi/228814","Conferencia de José Casanova","28 mayo 2018","28 mayo 2018"
"1526029345-49","http://www.cccb.org/es/actividades","Visita al Jardín Botánico de Barcelona","http://www.cccb.org/es/actividades/ficha/visita-al-jardin-botanico-de-barcelona/228586","Visita al Jardín Botánico de Barcelona","http://www.cccb.org/rcs_gene/jardibotanic.jpg","De la mano de los guías voluntarios de los Amigos del Jardín Botánico, daremos un paseo a través de la vegetación de las cinco regiones del mundo con clima mediterráneo.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/visita-al-jardin-botanico-de-barcelona/228586","Oferta exclusiva para los Amigos del CCCB","12 mayo 2018","12 mayo 2018"
"1526029325-40","http://www.cccb.org/es/actividades","Visita comentada a «La luz negra»","http://www.cccb.org/es/actividades/ficha/visita-comentada-a-la-luz-negra/228913","Visita comentada a «La luz negra»","http://www.cccb.org/rcs_gene/lallumnegra_web.jpg","Visita comentada a la exposición «La luz negra» a cargo de Enrique Juncosa, comisario de la muestra","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/visita-comentada-a-la-luz-negra/228913","Oferta exclusiva para los Amigos del CCCB","17 mayo, 4 julio 2018","17 mayo, 4 julio 2018"
"1526029329-42","http://www.cccb.org/es/actividades","La luz negra. Tradiciones secretas en el arte desde los años cincuenta","http://www.cccb.org/es/actividades/ficha/la-luz-negra-tradiciones-secretas-en-el-arte-desde-los-anos-cincuenta/228898","La luz negra. Tradiciones secretas en el arte desde los años cincuenta","http://www.cccb.org/rcs_gene/SI_Meshes_of_the_afternoon_Maya_Deren_1943.jpg","Esta selección de películas de vanguardia explora algunos conceptos tratados en la exposición ""La luz negra. Tradiciones secretas en el arte desde los años cincuenta"" como lo místico, el trance, la psicodelia o la magia.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/la-luz-negra-tradiciones-secretas-en-el-arte-desde-los-anos-cincuenta/228898","Archivo Xcèntric","16 mayo - 21 octubre 2018","16 mayo - 21 octubre 2018"
"1526029299-37","http://www.cccb.org/es/actividades/actuales/2","El día y la Noche de los Museos 2018","http://www.cccb.org/es/actividades/ficha/el-dia-y-la-noche-de-los-museos-2018/229039","El día y la Noche de los Museos 2018","http://www.cccb.org/rcs_gene/NIT-DELS-MUSEUS-FITXA.jpg","¡Celebra con nosotros el día y la Noche de los Museos! Tendrás entrada libre a las exposiciones fotográficas «La Luz Negra» y «World Press Photo 2018», podrás conseguir libros y catálogos del CCCB a muy buen precio , participar en un concurso de fotografía y acabarás la noche del sábado disfrutando de una Poetry Slam, poesía en vivo y diversión asegurada.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/el-dia-y-la-noche-de-los-museos-2018/229039","Entrada gratuita a las exposiciones «La luz negra» y «World Press Photo 2018»","18 y 19 mayo 2018","18 y 19 mayo 2018"
"1526029303-39","http://www.cccb.org/es/actividades/actuales/2","Ven al DocsBarcelona 2018","http://www.cccb.org/es/actividades/ficha/ven-al-docsbarcelona-2018/228937","Ven al DocsBarcelona 2018","http://www.cccb.org/rcs_gene/WebDocs2018_2.jpg","El festival internacional de documentales DocsBarcelona invita a los Amigos del CCCB a su 21ª edición","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/ven-al-docsbarcelona-2018/228937","Oferta exclusiva para Amigos del CCCB","17, 20 y 26 mayo 2018","17, 20 y 26 mayo 2018"
