web-scraper-order,web-scraper-start-url,event_title,event_text,event_start,event_end,event_venue__Hangar,event_link,event_link-href,event_category__Actividad__Espacios alternativos__Taller,event_maplink__1,event_cost__,event_id,event_image-src,event_organizer__Hangar
"1526029534-90","https://hangar.org/es/category/programa-hangar/formacio-continua/","Grupos abiertos de investigación medioambiental ciudadana","","","","null","","https://hangar.org/es/programa-hangar/formacio-continua/gaimec-convocatoria-oberta-programa-anual-dentrenament/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/gaimec-convocatoria-oberta-programa-anual-dentrenament/","https://hangar.org/webnou/wp-content/uploads/2018/01/escuela_de_incvestigacion_medioambiental_ciudadana-200x150.jpg","null"
"1526029735-125","https://hangar.org/es/category/workshops-artist2artists/","Grigri Pixel: Taller de Fabricación de mobiliario urbano para el pasaje Trullàs","del 2 al 11 noviembre","del 2 al 11 noviembre","del 2 al 11 noviembre","null","","https://hangar.org/es/workshops-artist2artists/gri-gri-pixel-taller-de-fabricacio-de-mobiliari-urba-per-al-passatge-trullas/","null","null","null","https://hangar.org/es/workshops-artist2artists/gri-gri-pixel-taller-de-fabricacio-de-mobiliari-urba-per-al-passatge-trullas/","https://hangar.org/webnou/wp-content/uploads/2017/03/PORTADA-POST-GRIGRI-200x150.jpg","null"
"1526029551-93","https://hangar.org/es/category/programa-hangar/formacio-continua/","Taller “Fuera de Cobertura. Recetas para habitar (o destruir) el planeta digital” a cargo de Christina Schultz","16, 18, 24, 31  mayo 2018","16, 18, 24, 31  mayo 2018","16, 18, 24, 31  mayo 2018","null","","https://hangar.org/es/news/taller-social-net-wok-recetas-para-habitar-o-destruir-el-planeta-digital-a-cargo-de-christina-schultz/","null","null","null","https://hangar.org/es/news/taller-social-net-wok-recetas-para-habitar-o-destruir-el-planeta-digital-a-cargo-de-christina-schultz/","https://hangar.org/webnou/wp-content/uploads/2018/01/TuVidaDigital5-200x150.jpg","null"
"1526029591-103","https://hangar.org/es/category/programa-hangar/formacio-continua/","Taller de oráculos: autoconstrucción, análisis y producción de herramientas para la gestión de la realidad","9, 16, 23, 30 mayo 2018","9, 16, 23, 30 mayo 2018","9, 16, 23, 30 mayo 2018","null","","https://hangar.org/es/programa-hangar/formacio-continua/taller-doracles-autoconstruccio-analisi-i-produccio-deines-per-a-la-gestio-de-la-realitat/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/taller-doracles-autoconstruccio-analisi-i-produccio-deines-per-a-la-gestio-de-la-realitat/","https://hangar.org/webnou/wp-content/uploads/2018/03/oraculos-200x150.jpg","null"
"1526029617-110","https://hangar.org/es/category/programa-hangar/formacio-continua/","Taller intensivo de historieta experimental (o el historietista como detective) a cargo de Un Faulduo","21 mayo","21 mayo","21 mayo","null","","https://hangar.org/es/programa-hangar/formacio-continua/espanol-taller-intensivo-de-historieta-experimental-o-el-historietista-como-detective/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/espanol-taller-intensivo-de-historieta-experimental-o-el-historietista-como-detective/","https://hangar.org/webnou/wp-content/uploads/2018/04/taller-2-200x150.jpg","null"
"1526029545-91","https://hangar.org/es/category/programa-hangar/formacio-continua/","Taller “Paisajes Olfativos” a cargo de Klara Ravat","11 y 12 mayo 2018","11 y 12 mayo 2018","11 y 12 mayo 2018","null","","https://hangar.org/es/programa-hangar/formacio-continua/espanol-taller-paisajes-olfativos-a-cargo-de-klara-ravat/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/espanol-taller-paisajes-olfativos-a-cargo-de-klara-ravat/","https://hangar.org/webnou/wp-content/uploads/2017/05/20160903-workshop-the-scent-of-amsterdam_29353128041_o-200x150.jpg","null"
"1526029756-128","https://hangar.org/es/category/workshops-artist2artists/","Taller de sistemas interactivos y visión artificial con C++ / OpenFrameworks","3, 5, 10, 17, 19, 24, 26, 31  octubre 2017 / 18:30-21:30","3, 5, 10, 17, 19, 24, 26, 31  octubre 2017 / 18:30-21:30","3, 5, 10, 17, 19, 24, 26, 31  octubre 2017 / 18:30-21:30","null","","https://hangar.org/es/news/espanol-taller-de-sistemas-interactivos-y-vision-artificial-con-c-openframeworks/","null","null","null","https://hangar.org/es/news/espanol-taller-de-sistemas-interactivos-y-vision-artificial-con-c-openframeworks/","https://hangar.org/webnou/wp-content/uploads/2017/07/sis-inter1-200x150.jpg","null"
"1526029764-129","https://hangar.org/es/category/workshops-artist2artists/","Taller “Estéticas del error digital: Taller glitch para la creación audiovisual y 3D”","20, 22, 27, 29 sept. 4, 6  oct. 2017 / 18:30-21:30","20, 22, 27, 29 sept. 4, 6  oct. 2017 / 18:30-21:30","20, 22, 27, 29 sept. 4, 6  oct. 2017 / 18:30-21:30","null","","https://hangar.org/es/workshops-artist2artists/taller-esteticas-del-error-digital-taller-glitch-para-la-creacion-audiovisual-y-3d/","null","null","null","https://hangar.org/es/workshops-artist2artists/taller-esteticas-del-error-digital-taller-glitch-para-la-creacion-audiovisual-y-3d/","https://hangar.org/webnou/wp-content/uploads/2017/07/glitch2-200x150.jpg","null"
"1526029570-97","https://hangar.org/es/category/programa-hangar/formacio-continua/","Net Art Workshop: Interactividad Web y Visualización de datos programando con Javascript","16 -30 abril y 2 mayo 2018","16 -30 abril y 2 mayo 2018","16 -30 abril y 2 mayo 2018","null","","https://hangar.org/es/news/espanol-net-art-workshop-interactividad-web-y-visualizacion-de-datos-programando-con-javascript/","null","null","null","https://hangar.org/es/news/espanol-net-art-workshop-interactividad-web-y-visualizacion-de-datos-programando-con-javascript/","https://hangar.org/webnou/wp-content/uploads/2018/02/000-200x150.jpg","null"
"1526029584-99","https://hangar.org/es/category/programa-hangar/formacio-continua/","El arte del código: generatividad, interactividad y programación C++ openFrameworks","14-30 mayo 2018","14-30 mayo 2018","14-30 mayo 2018","null","","https://hangar.org/es/news/el-arte-del-codigo-generatividad-interactividad-y-programacion-c-openframeworks/","null","null","null","https://hangar.org/es/news/el-arte-del-codigo-generatividad-interactividad-y-programacion-c-openframeworks/","https://hangar.org/webnou/wp-content/uploads/2017/12/creativecomputing3-1-200x150.jpg","null"
