event_link,event_link-href,event_end,event_start,event_image-src,event_text,event_title,event_id,event_cost__7,event_maplink__1,event_category__Exposición__Fundación Antoni Tàpies,event_organizer__Fundación Antoni Tàpies,event_venue__Fundación Antoni Tàpies
"Harun Farocki. Empatia","http://www.fundaciotapies.org/site/spip.php?article8475","- 16 octubre 2016","1 junio","http://www.fundaciotapies.org/site/IMG/arton6317.jpg","..........................................................................................................................","Harun Farocki. Empatía","http://www.fundaciotapies.org/site/spip.php?article8475","null","null","null","null","null"
"Documentos de acción. Obras de las colecciones Denney y Cordier (1947-1965)","http://www.fundaciotapies.org/site/spip.php?article8473","28 enero – 22 mayo 2016","28 enero – 22 mayo 2016","http://www.fundaciotapies.org/site/IMG/arton8473.gif","..........................................................................................................................","Documentos de acción. Obras de las colecciones Denney y Cordier (1947-1965)","http://www.fundaciotapies.org/site/spip.php?article8473","null","null","null","null","null"
"Antoni Tàpies. Parla, parla","http://www.fundaciotapies.org/site/spip.php?article8479&var_mode=calcul","- 22 mayo 2016","11 febrero","http://www.fundaciotapies.org/site/IMG/arton6317.jpg","..........................................................................................................................","Antoni Tàpies. Parla, parla","http://www.fundaciotapies.org/site/spip.php?article8479&var_mode=calcul","null","null","null","null","null"
"Antoni Tàpies. Colección, 1955-1965","http://www.fundaciotapies.org/site/spip.php?article8477","- 22 mayo 2016","19 enero","http://www.fundaciotapies.org/site/IMG/arton8477.jpg","..........................................................................................................................","Antoni Tàpies. Colección, 1955–65","http://www.fundaciotapies.org/site/spip.php?article8477","null","null","null","null","null"
