event_link,event_link-href,event_start,event_end,event_image-src,event_title1,event_title2,event_text,event_maplink__1,event_cost__0,event_category__Actividad__La Capella,event_organizer__La Capella,event_venue__La Capella,event_id
"Aparatos de sentido y de sentir","http://lacapella.bcn.cat/es/activitats/aparatos-de-sentido-y-de-sentir","null","null","http://lacapella.bcn.cat/sites/default/files/styles/bildresumen/public/activitats/grinolo2.jpg","Aparatos de sentido y de sentir","Sergi Botella, Isaías Griñolo y Antonio Orihuela","Sergi Botella y Isaías Griñolo comentan y ramifican los proyectos que produjeron para Visceral Blue. Pese a partir de materiales y universos muy distintos, sus obras tienen en común la intersección de lo poético y lo somático. Ambos trabajan las palabras y el texto en estrecho diálogo con patrones musicales (el techno en el caso de Botella y el flamenco en el caso de Griñolo) para dar lugar a aparatos que agitan tanto el sentido como el sentir.","null","null","null","null","null","/es/activitats/aparatos-de-sentido-y-de-sentir"
"Vermú de ""traje""","http://lacapella.bcn.cat/es/activitats/verm%C3%BA-de-traje","null","null","http://lacapella.bcn.cat/sites/default/files/styles/bildresumen/public/activitats/convocatoria-def_julia_montilla_activitat-01.jpg","Vermú de ""traje""","Julia Montilla","Actividades Visceral Blue:
Día: 3 de abril 
Hora: de 13.00 a 15.00 
Lugar: plaza de la Trinitat (Sant Andreu) 
Encuentro festivo a iniciativa de Julia Montilla, con mercado de intercambio, vermut y micro abierto para todos","null","null","null","null","null","/es/activitats/verm%C3%BA-de-traje"
