event_title1,event_title2,event_image-src,event_text,event_start,event_end,event_venue,event_link,event_link-href,event_organizer__MACBA,event_category__Actividad__MACBA,event_maplink__1,event_cost__10,event_id
Haciendo y deshaciendo,Taller a cargo de Mireia C. Saladrigues,http://www.macba.cat/uploads/20160216/saladrigues.2.jpg,"¿Cuáles son las coordenadas espaciales y perceptuales que se alteran cuando visitamos una exposición caminando hacia atrás? ¿Cómo se estimulan los sentidos táctiles si recorremos el museo tocando todas sus paredes excepto las obras mostradas? ¿Qué sucede si, inmediatamente después, repetimos la misma visita, intentando reproducir los mismos movimientos, gestos y pausas?

 

A partir de experimentaciones y ensayos similares a los mencionados más arriba, exploraremos las condiciones museísticas espaciales, temporales y sociales a las que estamos sujetos como espectadores.

 

Este tipo de ejercicios e implementaciones experimentales son estrategias que uso para la investigación a partir de la práctica. Puesto que esos experimentos no tienen un objetivo productivo de concreción en una obra, podrían entenderse como acciones absurdas. Sin embargo, esos tests fallidos en la deconstrucción de los paradigmas kantianos del espectador son reveladores para la comprensión desde la experiencia y el proceso. Y es que a menudo se comprende mejor desde el hacer o, al menos, se indaga y se comunica mejor.",11 mar. 2016,null,Espai Taller  MACBA,,http://www.macba.cat/es/taller-haciendo-y-deshaciendo/1/actividades/activ,null,null,null,null,/es/taller-haciendo-y-deshaciendo/1/actividades/activ
Y por Setmana Santa... Nuevos ingredientes artísticos,Taller. Actividad recomendada para niños y niñas a partir de 6 años,http://www.macba.cat/uploads/20120220/_MG_4206_770x315.jpg,"¿De qué están hechas las obras de arte? ¿Existen unos materiales más «artísticos» que otros? Probablemente todos coincidiremos si nos referimos al hierro, el mármol, la cerámica o el óleo, pero ¿será tan fácil ponerse de acuerdo si hablamos del cobre o el plástico? Durante la visita al Museo analizaremos los materiales que utilizan los artistas y veremos de qué forma condicionan el significado de la obra. Finalmente, haremos un ejercicio de creación colectiva con un material poco habitual.",21 mar.,28 mar. 2016,Espai Taller  MACBA,,http://www.macba.cat/es/mef-semana-santa-2016/1/actividades/activ,null,null,null,null,/es/mef-semana-santa-2016/1/actividades/activ
The Museum is Closed,Alex Brahim,http://www.macba.cat/uploads/20160216/DSC06242_alex_brahim.3.jpg,"Un martes al mes, cuando el museo permanece cerrado, se abre el taller del MACBA para escuchar proyectos de artistas, colectivos y comisarios con la única intención de dialogar y crear complicidades y retornos entre los asistentes. Cada martes estará liderado por un proyecto e invitados diferentes, un programa que reproduce procesos de trabajo comunes en las prácticas artísticas de colectivos independientes. 

	

En marzo, The Museum is Closed presenta los últimos proyectos de Alex Brahim, comisario independiente que acaba de regresar de una estancia en Colombia.  Brahim es cofundador de la plataforma artística relacional DIBINa y programador de Antigua Casa Haiku Barcelona. Ha desarrollado proyectos en Casa Encendida, CCCB, Matadero Madrid, Off Limits, Círculo de Bellas Artes, Sala d’Art Jove o Museu de l’Empordà.",29 mar. 2016,null,Espai Taller  MACBA,,http://www.macba.cat/es/alex-brahim-the-museum-is-closed/1/actividades/activ,null,null,null,null,/es/alex-brahim-the-museum-is-closed/1/actividades/activ
Festival Mecal Pro,null,http://www.macba.cat/uploads/20160215/banner_web.3.jpg,"Mecal es el Festival Internacional de Cortometrajes y Animación de Barcelona. Cuenta con una extensa trayectoria que lo ha consolidado como uno de los festivales de cortometrajes más importantes de España. Por su longevidad y calidad, también es un referente entre los festivales de esas características en el ámbito internacional.



Para esta XVIII edición, que se celebrará del 10 de marzo al 3 de abril, Mecal Pro presenta una selección de 350 cortos de los 5.500 cortometrajes recibidos procedentes de más de 110 países. Este año cuenta con 4 secciones en competición: Internacional, Oblicua, Documental y Animación. Además, 31 secciones paralelas que recogen una extensa variedad de temáticas, géneros, procedencias, épocas y autores. También se organizan en el marco del festival varias actividades como talleres y clases magistrales.



Entre los días 17 y 20 de marzo, el MACBA acogerá las competiciones de Internacional y Documental y la clase magistral de Daniel Resnich sobre la «mente transmedia».",17 mar.,20 mar. 2016,Auditori Meier,,http://www.macba.cat/es/festival-mecal-pro/1/actividades/activ,null,null,null,null,/es/festival-mecal-pro/1/actividades/activ
Best of You,La Intrusa. MACBA se vive,http://www.macba.cat/uploads/20160215/02_BESTOFYOU_Julian_Martin.3.jpg,"La habitación ardía lentamente y a su alrededor, todas sus pequeñas comodidades habían ardido, se habían empapado y habían vuelto a entrar en la combustión. Un espectáculo en el que los dos intérpretes viajan por una partitura de tensiones acumuladas, mientras buscan con buenas intenciones el alivio.

	

La Intrusa. Premi Nacional de Dansa 2015



Creación y dirección: Virginia García y Damián Muñoz

Dramaturgia: Virginia García

Interpretación: Virginia García i Damián Muñoz

Iluminación y sonido: La Intrusa

Producción y management: Cane (n. canela)",05 mar. 2016,null,MACBA,,http://www.macba.cat/es/mev-la-intrusa/1/actividades/activ,null,null,null,null,/es/mev-la-intrusa/1/actividades/activ
MACBA Collage Lab,Taller de los Amigos,http://www.macba.cat/uploads/20160216/72_ECONOMIX_3.1.jpg,"El MACBA Collage Lab es un espacio de experimentación, reflexión y práctica del collage conducido por Max-o-matic, artista especializado en esta técnica. El objetivo de este espacio es encontrar nuevas formas de expresión, herramientas, enfoques y modos de abordar una técnica cuyas limitaciones son a la vez su principal valor como disparador creativo. En cada sesión se trabajarán propuestas diferentes para que los asistentes descubran, cada uno a su ritmo, cómo desarrollar esta práctica más allá de sus clichés, acercándose a un lenguaje propio.",18 mar. 2016,null,Espai Taller  MACBA,,http://www.macba.cat/es/amics-macba-collage-lab/1/actividades/activ,null,null,null,null,/es/amics-macba-collage-lab/1/actividades/activ
Surplus,MACBA se vive,http://www.macba.cat/uploads/20160215/surplus_1.4.jpg,"Surplus intenta activar percepciones, trasladar al cuerpo la experiencia de observar. Da visibilidad a otras maneras de experimentar el ver, abriendo el umbral de potencialidades en torno a nuestra relación de forma móvil y constante. Y lo hace en un marco de observación que remodela la experiencia del cuerpo como sujeto-objeto, en una redefinición recurrente.



Con Surplus nos observamos a través de las relaciones que establecemos. El trabajo parte de la sensibilización del cuerpo de los performers y los espectadores para movilizar la relación de uno mismo con el otro, en un evento que hace visible su proceso, su construcción y sus múltiples enfoques.



Surplus incita al espectador a prestar atención al flujo de su observación y a viajar por diferentes asociaciones y lecturas, sin comprometerse con una interpretación única; le anima a renovar su devenir y a sacudir su mirada.



Actividad organizada por Mostra IN SITU, con el apoyo de Arts Santa Mònica.",19 mar. 2016,null,MACBA,,http://www.macba.cat/es/mev-surplus/1/actividades/activ,null,null,null,null,/es/mev-surplus/1/actividades/activ
Visitas a otras instituciones,MACBA Amics,http://www.macba.cat/uploads/20131112/770x315.jpg,"Fundació Antoni Tàpies

Documentos de acción. Obras de las colecciones Denney y Cordier (1947-1965) 

Visita a cargo de Carles Guerra, director y co-comisario de la exposición

 

La exposición presenta unas sesenta obras procedentes de Les Abattoirs de Toulouse.                                                               El grueso de la elección se corresponde con el legado de la Colección Anthony Denney y se complementa con dibujos de la Colección Daniel Cordier. Ambas colecciones son testigos de la emergencia del art informel a finales de la década de 1940, así como de su rápida comercialización y asimilación a una modernidad internacional.



Fundación Joan Miró

Nueva presentación de la Colección Joan Miró



Proponemos redescubrir la colección de obra de Joan Miró con una nueva presentación que subraya el carácter único de la institución, un espacio expositivo pensado y diseñado para mostrar la obra de Miró y que pone en valor el diálogo y la complicidad entre el artista y el arquitecto Josep Lluís Sert.",03 mar.,21 abr. 2016,,,http://www.macba.cat/es/amigos-visitas-otras-instituciones/1/actividades/activ,null,null,null,null,/es/amigos-visitas-otras-instituciones/1/actividades/activ
J.G.G.,MACBA se vive,http://www.macba.cat/uploads/20160215/JGG_FOTO.3.jpg,"J.G.G. es un músico atormentado por el sueño de una noche de verano, una visión en la que creaba una canción que precipitaba el fin del mundo. Lamentablemente, todos sus recuerdos se desvanecieron al despertar. Ahora aprovecha sus escasos momentos de lucidez para dar vueltas a las notas y ritmos que acuden a su mente, siempre en busca de la melodía que logrará acabar al fin con la humanidad.	

	

Más información:

https://j-gg.bandcamp.com/",26 mar. 2016,null,MACBA,,http://www.macba.cat/es/mev-jgg/1/actividades/activ,null,null,null,null,/es/mev-jgg/1/actividades/activ
La pantalla en blanco. Otras especies de espacios,Ciclo de cine comisariado por Frederic Montornés y Cloe Masotta,http://www.macba.cat/uploads/20160215/especies.4.jpg,"La primera página de Especies de espacios de Georges Perec es una imagen, o una multitud de imágenes que palpitan invisibles entre cuatro trazos negros. Es una ilustración de un poema de Lewis Carroll cuya leyenda indica que se trata de un mapa, una cartografía. Como ese mapa, también la página en blanco y la pantalla de cine son espacios llenos de posibilidades delimitadas por un encuadre o por los márgenes de un papel. En esta nueva edición de La pantalla en blanco exploramos otras especies de espacios que, bajo el influjo del libro de Perec, surgen de la propia exposición: el espacio íntimo, el intervenido, el de vigilancia y el sonoro, a través de un nuevo programa de películas y también obras de la Colección MACBA, presentadas por artistas cuya obra forma parte de la exposición.",16 mar.,20 abr. 2016,Auditori Meier,,http://www.macba.cat/es/pantalla-en-blanco-2016/1/actividades/activ,null,null,null,null,/es/pantalla-en-blanco-2016/1/actividades/activ
