web-scraper-order,web-scraper-start-url,event_organizer,event_venue,event_text,event_title,event_link,event_link-href,event_facebooktime,event_maplink__1,event_cost__,event_category__,event_id,event_image-src
"1531044008-1","https://www.artssspot.com/barcelona/face-pages-prov/","Natalia Santolaria","El Pumarejo de Barcelona","Hola! Estas sesiones quieren ser un espacio de improvisación y creación artística mezclando dibujo al desnudo y música, siendo los asistentes los propios modelos. Esta vez habrá pintura corporal y entre todos podremos pintar los cuerpos de l@s modelos (sólo si ell@s quieren) antes de que posen. Traeros a la imaginación.

+¿Cómo funciona?:
2 horas, 4 modelos escogidos al azar entre los asistentes, 30 minutos cada uno. Músicos invitados a crear.

Los modelos serán escogidos al azar, sacando nombres de un gorro. Si tu nombre sale del gorro, tendrás que posar desnud@. 

Cada uno se hace cargo de traer su propio material, papel, pintura, lápices, etc.

+Entrada: Taquilla inversa para los músicos, que se anunciarán los próximos días.

Recuerda: Quienes no sean soci@s del Pumarejo deberán pagar 2 euros de cuota de socio, que les dará derecho a todos las demás cosas increíbles que ocurren en la cueva de música.","Dibujo al desnudo, música y otros misterios en El Pumarejo","https://www.facebook.com/events/499745513777042/","https://www.facebook.com/events/499745513777042/","2018-07-08T10:30:00-07:00 to 2018-07-08T13:30:00-07:00","null","null","null","https://www.facebook.com/events/499745513777042/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/q81/s720x720/36585193_10156285082221259_7483519517260251136_o.jpg?_nc_cat=0&oh=cccdf480bebf963e98f33b8d0508c09c&oe=5BD1E6C5"
"1531044072-6","https://www.artssspot.com/barcelona/face-pages-prov/","Galeria Artevistas","null","Un año después de mostrar su anterior trabajo Blackboard | 1982 Sandra Partera regresa con un nuevo e intenso trabajo con la voluntad de despertar y proyectar un nuevo ciclo. Dialogar y jugar con su niña interior le ha llevado a presentar su nueva ilusión. 
HEY! INNER CHILD 

Las pizarras son el eje principal de su trabajo. Fondos oscuros, borrosos, garabatos y criaturas, se unen con una intensa paleta de color, para jugar sobre esas pizarras, donde siempre, es posible volver a empezar.

“El niño, cualquier niño, es un hecho nuevo, y con él, el mundo empieza de cero” - Gianni Rodari","Hey! Inner child - Sandra Partera","https://www.facebook.com/events/442665672806675/","https://www.facebook.com/events/442665672806675/","2018-07-19T10:00:00-07:00 to 2018-07-19T13:00:00-07:00","null","null","null","https://www.facebook.com/events/442665672806675/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/36750157_1883348335037555_1388481708965232640_n.jpg?_nc_cat=0&oh=b3659702b492b9a1c94949ea1701f68f&oe=5BE3B6F9"
"1531044050-4","https://www.artssspot.com/barcelona/face-pages-prov/","Guzzo","Guzzo","Guzzo and Street Art Barcelona are glad to announce a unique collective action gathering two legends of graffiti made in Barcelona: El Pez & El xupet negre. The two precursors of logo art style will paint in direct the main wall of Guzzo on 9th of July. Fishes and dummies will meet in an explosion of colors, style and positivity for our own pleasure. Get ready! 

In addition to the live painting, artworks will also be in sale by the artists and DJ Blaze Sounds will be in charge of the music for a new Hip-Hop, Soul, Funk & Rare Grooves session.
www.mixcloud.com/blazesounds

Event organized with the support of Montana Colors. 

www.el-pez.com
www.elxupetnegre.com
www.instagram.com/chanoir1980","Guzzo Collective Action: Xupet & Pez","https://www.facebook.com/events/640393699642739/","https://www.facebook.com/events/640393699642739/","2018-07-09T09:00:00-07:00 to 2018-07-09T14:00:00-07:00","null","null","null","https://www.facebook.com/events/640393699642739/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s552x414/36550968_1706811896082283_3670661819199913984_n.jpg?_nc_cat=0&oh=43e3010a6346066872fc2e2fb6d14947&oe=5BA107AC"
"1531044053-5","https://www.artssspot.com/barcelona/face-pages-prov/","Bicnic","null","Apunta't a la tercera ponència del cicle FAST TALKS, una sèrie de xerrades informals que uneixen la gastronomia i el disseny en un format innovador darrera de la barra del Bicnic.
Degustar una conferència mentre prens una copa de vi o una cervesa ben tirada tot tastant les propostes del recentment inaugurat restaurant Bicnic a l’eixample de Barcelona. 
Així serà el nou cicle de xerrades del Bicnic, amb un novedós format afterwork en forma de micro-píndoles de coneixement d’uns 30 minuts de durada.

És el torn de Clase Bcn, un estudi de disseny gràfic i taller de comunicació visual de Barcelona, amb un equip de 10 professionals joves, internacionals i multidisciplinaris. Treballen amb un enfocament prominent en temes de branding i direcció d'art, tot experimentant i qüestionant el que és més convencional de les marques per les quals treballen.
El seu procés de treball és una mescla entre el plantejament estratègic i el creatiu i s'expressa a través d'un llenguatge innovador i distintiu, sent coherents i exigents segons les necesssitats del projecte. Clase Bcn va ser creat per Claret Serrahima al 1978, amb un esperit inquiet i inconformista. Al 2001, va afegir dos nous socis: el director creatiu, Daniel Ayuso, i la directora, Sandra Parcet.
Clase Bcn vindrà al FAST a presentar-nos, entre d'altres, el seu projecte gastronòmic per Delicious & Sons.

Accés: 19h / Xerrada: 19:30h / Entrada gratuïta / Aforament limitat.

Més info: https://clasebcn.com/ca/estudi/","FAST TALKS amb Clase","https://www.facebook.com/events/2089862397954237/","https://www.facebook.com/events/2089862397954237/","2018-07-11T10:30:00-07:00 to 2018-07-11T11:30:00-07:00","null","null","null","https://www.facebook.com/events/2089862397954237/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/35327456_841767916016253_2098761929836199936_n.jpg?_nc_cat=0&oh=0ada8fefd5e871700161a6bcd80b3047&oe=5BE324EA"
"1531044022-2","https://www.artssspot.com/barcelona/face-pages-prov/","Artspace Tours","Barcelona","Take amazing street snaps and discover Barcelona’s street art scene with a professional photographer.

In this photography tour, you’ll wander through Raval—an area of Barcelona known for its diversity, art, and colourful streets. It’s the perfect place to work on your street photography techniques, so you will go home with some great-looking photos.

 We’ll practice spotting photo opportunities, and we’ll work on developing a better understanding of the components of a great street image. We’ll look at the technical aspects of street photography—composition, exposure, light, and focus.  We’ll also visit some of the city’s best spots to see some amazing street art and giant murals along the way.

This tour is great for all levels. Whether you’re new to photography or have more experience, we’ll take you to some of Barcelona’s most photographic locations and help you capture the best shot each time. Plus, all our workshops are kept to smaller numbers so you can enjoy a personalised experience, with one-on-one tuition and feedback on your photos.

At the end of the tour, we’ll head to Enkel – a bar known for its great coffee and locally brewed craft beers, to enjoy a drink together. We’ll help you review your photos and give you some feedback. 

*All drinks are included in the price.","Street Photography Tour","https://www.facebook.com/events/2058111841173657/","https://www.facebook.com/events/2058111841173657/","2018-07-07T02:00:00-07:00 to 2018-09-01T04:00:00-07:00","null","null","null","https://www.facebook.com/events/2058111841173657/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/q83/p235x350/36730237_522590888196854_6295722792310538240_n.jpg?_nc_cat=0&oh=8875810305201cfcf3a69b2b46d6bf3a&oe=5BA4C12E"
"1531044036-3","https://www.artssspot.com/barcelona/face-pages-prov/","Artspace Tours","Barcelona","Discover Barcelona’s street art movement, from the city’s latest graffiti to the hidden artworks and murals that decorate its maze of colourful streets, walls, and alleys.

The Barcelona street art tour takes you around three downtown neighbourhoods and shows you a whole new side of the city. During the tour, you will have the opportunity to learn about the history of street art in Barcelona, its most famous graffiti artists, and different types of street art, as well as visit a gallery specializing in graffiti.

On route, you’ll have the opportunity to talk to gallery owners, discover new-emerging artists, and uncover the concepts behind the artwork.

Halfway through the tour, we’ll head to Enkel— a bar known for its great coffee and locally brewed craft beers to enjoy a drink together. 
*All drinks are included in the price of the tour.","Street Art Tour Barcelona","https://www.facebook.com/events/265832180830174/","https://www.facebook.com/events/265832180830174/","2018-07-07T05:30:00-07:00 to 2018-08-31T08:00:00-07:00","null","null","null","https://www.facebook.com/events/265832180830174/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/q82/p235x350/36628903_522576798198263_4875619360858701824_n.jpg?_nc_cat=0&oh=ad7b07f52c13704dfa5766a8d8748ce7&oe=5B9EBF95"
