event_start,event_image-src,event_category__Exposición__Centros alternativos__Arte emergente,event_venue__Mutuo Centro de Arte,event_cost__0,event_link,event_link-href,event_end,event_organizer__Mutuo Centro de Arte,event_maplink__1,event_id,event_title,event_text
"19			
			
				
					sep				
				

				
					2015","http://mutuocentro.com/wp-content/uploads/2015/09/mini-assaig.jpg","null","null","null","","http://mutuocentro.com/asssaig/","19			
			
				
					sep				
				

				
					2015","null","null","http://mutuocentro.com/asssaig/","ASSSAIG","Mutuo regresa de las vacaciones con la exposición Assaig, del 19 de septiembre al 3 de octubre
Del concepto “prueba y error”, también conocido como “ensayo y error”, nace el naming y el leitmotiv del colectivo ASSSAIG. Se trata de prolongar la tentativa, de pasar a un acto continuo sin fallo ni acierto. La organización entiende que errar es tan importante como acertar y valora la repetición de una acción correcta o incorrecta tantas veces se quiera buscando la alternativa.
ASSSAIG elige dos temáticas por edición con la voluntad de que surjan interpretaciones experimentales e inéditas. La elección de las materias proviene de un interés concreto y esporádico por parte del organismo. Para esta primera edición: “Desayuno” y “Las Sobras”. Cada tema consta de 4 piezas, con un total de 8 autores. Cada autor difunde su percepción de la temática cedida, mediante cualquier expresión artística, creando una pieza original para la exposición.
Sabina Andrés y Vicent Almiñana han construido esta organización sin ánimo de lucro con la intención de promover el lenguaje artístico. La motivación principal del colectivo es impulsar la creación de obras  con la voluntad de acumular experiencias y relacionar artistas con temáticas concretas. Cada autor expresa su visión respecto la temática asignada, vinculando su obra con las que presentan los otros autores."
"10			
			
				
					jun				
				

				
					2015","http://mutuocentro.com/wp-content/plugins/essential-grid/public/assets/images/300x200transparent.png","null","null","null","","http://mutuocentro.com/hotline-by-gorsad-vito-montolio/","10			
			
				
					jun				
				

				
					2015","null","null","http://mutuocentro.com/hotline-by-gorsad-vito-montolio/","HOTLINE BY GORSAD & VITO MONTOLIO","Cuando la irreverencia se encuentra con si misma se genera un conflicto que conmueve a las mentes más creativas. De ese conflicto artístico nace HOTLINE, un proyecto colaborativo que traspasa las fronteras físicas y políticas de cualquier país para unir las imágenes del colectivo ucraniano Gorsad con el afilado pincel del ilustrador autóctono Vito Montolio.
La exposición, que tendrá lugar en la galería Mutuo de Barcelona, se articula en torno a una idea que nos sumerge en la profundidad del bizarrismo y la fantasía. Los juegos visuales repletos de humor que se dibujan sobre las obras de Gorsad, convierten su imaginario en un impacto que viaja a través del humor de Vito Montolio. Cruzando las barreras de lo documental, rompiendo los grilletes de lo estético, este grupo de creativos nos acerca a través de una limitada serie de obras a ese descaro suyo que se viste, esta vez, con aires pictóricos. El carácter controvertido de todos ellos compone una colección donde el sexo, la juventud, la irreverencia y la imaginación toman el control de todo e invitan al espectador a descubrir la realidad tras la ficción.
Pertenecientes a dos mundos con considerables diferencias culturales, Gorsad y Vito Montolio ponen en común sus filias y fobias para darnos a conocer una nueva identidad creativa, visceral y repleta de carnalidad. Mediante la fusión de la fotografía con la pintura y el collage, HOTLINE se presenta como un juego creativo donde los límites sociales se desvanecen y la realidad cobra un nuevo sentido. Con la mirada curiosa de estos artistas, os invitamos a descubrir esa línea caliente que une Kiev con Barcelona y que reinventa la cultura visual de ambas ciudades.
—-
Miércoles 10 de Junio a las 19h

Centro de Arte Mutuo

Julià Portet nº5. Bajos, 08002 Barcelona
Evento en FB!"
