event_link,event_link-href,event_title1,event_start,event_text,event_image-src,event_end,event_category__Exposición__Galerías__Arte emergente__Ilustración,event_organizer__Miscelanea,event_venue__Miscelanea,event_maplink__1,event_cost__0,event_id,event_title2
"Metamorfish II","http://www.miscelanea.info/e933/metamorfish-ii","Metamorfish II","04
						Sep '15
						


											al
						27
						Sep '15","Inauguración: Viernes 4 a las 20.00h.","http://www.miscelanea.info/public/images/jellyfishiii-p.jpg","04
						Sep '15
						


											al
						27
						Sep '15","null","null","null","null","null","/e933/metamorfish-ii","Elisa Ancori"
"100 artistas sin los que no podría vivir","http://www.miscelanea.info/e934/100-artistas-sin-los-que-no-podria-vivir","100 artistas sin los que no podría vivir","07
						Oct '15
						


											al
						01
						Nov '15","Disciplina: Ilustración
Técnica:  Tintas caligráficas en papel","http://www.miscelanea.info/public/images/ricardocavolohw.jpg","07
						Oct '15
						


											al
						01
						Nov '15","null","null","null","null","null","/e934/100-artistas-sin-los-que-no-podria-vivir","Ricardo Cavolo"
