event_title,event_start,event_end,event_image-src,event_text,event_link,event_link-href,event_id,event_maplink__1,event_organizer__Fundación Joan Miró,event_venue__Fundación Joan Miró,event_cost__7,event_category__Exhibition__Fundación Joan Miró
One Foot Out. Expeditions and Diasporas,24/09/2016,11/09/2017,http://www.fmirobcn.org/media/upload/gif/cache/e13_peuafora_imatgeweb_aaff_cat_1473156670_255.png,The 2016-17 programme of exhibitions at Espai 13 presents artistic works from the periphery of the usual circuits of contemporary art in Barcelona.,"about  ""One Foot Out. Expeditions and Diasporas""",http://www.fmirobcn.org/exhibitions/5709/one-foot-out-expeditions-and-diasporas,/exhibitions/5709/one-foot-out-expeditions-and-diasporas,null,null,null,null,null
Urban cut-outs,20/09/2016,15/01/2017,http://www.fmirobcn.org/media/upload/gif/cache/detalls_urbans_lluis_m_riera_1473160253_255.jpg,"Lluís Maria Riera, an amateur photographer closely associated with the Fundació Joan Miró and the Galeria Joan Prats, was a friend of Miró, Tàpies and Brossa, as well as other artists.","about  ""Urban cut-outs""",http://www.fmirobcn.org/exhibitions/5716/urban-cut-outs,/exhibitions/5716/urban-cut-outs,null,null,null,null,null
