web-scraper-order,web-scraper-start-url,event_link,event_link-href,event_title1,event_image-src,event_text,event_organizer__CCCB,event_maplink__1,event_cost__,event_venue__CCCB,event_category__CCCB__Actividad,event_id,event_title2,event_start,event_end
1524996640-34,http://www.cccb.org/es/actividades,George Orwell: ¿un Quijote en bicicleta?,http://www.cccb.org/es/actividades/ficha/george-orwell-un-quijote-en-bicicleta/228735,George Orwell: ¿un Quijote en bicicleta?,http://www.cccb.org/rcs_gene/maxresdefault.jpg,"Este curso quiere revisar el legado de Orwell, tanto desde el punto de vista de su proyecto literario como de su posición política, en un intento de resituar la enorme influencia contra pronóstico que ha tenido la obra de un autor que escribió casi siempre a contracorriente y cuestionó de forma precoz, con honestidad intelectual y recursos precarios, los «ismos» más perversos de su tiempo: el imperialismo, el fascismo y el estalinismo.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/george-orwell-un-quijote-en-bicicleta/228735,A cargo de Miquel Berga,"3, 10, 17 y 24 mayo 2018","3, 10, 17 y 24 mayo 2018"
1524996642-36,http://www.cccb.org/es/actividades,Celebrar Europa,http://www.cccb.org/es/actividades/ficha/celebrar-europa/228708,Celebrar Europa,http://www.cccb.org/rcs_gene/Celebrar-Europa-_-web-CCCB.jpg,"¿Qué es Europa? ¿Qué supone ser ciudadano europeo? Este breve curso propone una reflexión sobre diversos aspectos de la comunidad cultural y política que llamamos Europa, más allá de la economía y los imperativos comerciales.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/celebrar-europa/228708,Curso dirigido por Andreu Jaume,"25 abril, 2, 9, 16 y 23 mayo, 6 junio 2018","25 abril, 2, 9, 16 y 23 mayo, 6 junio 2018"
1524996650-44,http://www.cccb.org/es/actividades,Primavera,http://www.cccb.org/es/actividades/ficha/primavera/223542,Primavera,http://www.cccb.org/rcs_gene/Sedmikrasky_de_V_ra_Chytilova.jpg,"Llegada la primavera, salimos de nuestros refugios. Es la estación del redescubrimiento de la luz. He aquí una degustación de títulos que tratan de crear una nueva mirada hacia el mundo exterior.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/primavera/223542,Archivo Xcèntric,9 abril - 21 junio 2018,9 abril - 21 junio 2018
1524996582-18,http://www.cccb.org/es/actividades/actuales/2,DocsBarcelona 2018,http://www.cccb.org/es/actividades/ficha/docsbarcelona-2018/229005,DocsBarcelona 2018,http://www.cccb.org/rcs_gene/DocsBarcelona_2018_web.jpg,"El Festival Internacional de Cine Documental de Barcelona celebra su 21a edición del 16 al 27 de mayo, ofreciendo una selección de las mejores películas documentales del panorama internacional.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/docsbarcelona-2018/229005,Festival Internacional de Cine Documental,16 - 27 mayo 2018,16 - 27 mayo 2018
1524996633-31,http://www.cccb.org/es/actividades,La escuela de la vida,http://www.cccb.org/es/actividades/ficha/la-escuela-de-la-vida/228551,La escuela de la vida,http://www.cccb.org/rcs_gene/Daniel_Pennac_1000.jpg,"Conversaremos con Daniel Pennac, escritor y antiguo profesor de secundaria, sobre la relación entre la infancia y la edad adulta, el papel de la imaginación en la educación y las expectativas y las promesas que acompañan al hecho de crecer.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/la-escuela-de-la-vida/228551,Conversación con Daniel Pennac,7 mayo 2018,7 mayo 2018
1524996601-26,http://www.cccb.org/es/actividades/actuales/2,"Saber, hacer, comprender #2",http://www.cccb.org/es/actividades/ficha/saber-hacer-comprender-2/228084,"Saber, hacer, comprender #2",http://www.cccb.org/rcs_gene/Aula-oberta-2_webCCCB.jpg,"Entendemos que las humanidades no son solo las disciplinas «de letras», sino una determinada manera de acercarse al conocimiento y a la creación, así como a sus consecuencias sociales, políticas y humanas. Humanidades son aquella manera de saber, hacer y comprender que da sentido y valor a la experiencia humana desde el punto de vista de su dignidad. Este año abrimos de nuevo un aula desde donde actualizar el discurso, los referentes y las prácticas de las humanidades en nuestra sociedad.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/saber-hacer-comprender-2/228084,Aula oberta dirigida por Marina Garcés,"13 y 27 febrero, 13 marzo, 10 y 24 abril, 8 mayo 2018","13 y 27 febrero, 13 marzo, 10 y 24 abril, 8 mayo 2018"
1524996587-20,http://www.cccb.org/es/actividades/actuales/2,Ver lo invisible,http://www.cccb.org/es/actividades/ficha/ver-lo-invisible/228812,Ver lo invisible,http://www.cccb.org/rcs_gene/foto_conf_lachman_1000.jpg,"Gary Lachman, escritor, músico y experto en la historia de la conciencia y del pensamiento esotérico, pone de relieve la importancia del ocultismo en la conformación de la cultura moderna",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/ver-lo-invisible/228812,Conferencia de Gary Lachman,16 mayo 2018,16 mayo 2018
1524996597-24,http://www.cccb.org/es/actividades/actuales/2,Proyección de los trabajos premiados en el Concurso de Narrativa Digital,http://www.cccb.org/es/actividades/ficha/proyeccion-de-los-trabajos-premiados-en-el-concurso-de-narrativa-digital/228625,Proyección de los trabajos premiados en el Concurso de Narrativa Digital,http://www.cccb.org/rcs_gene/adaptive-images_17_.jpg,Sesión abierta en la que se proyectarán los trabajos audiovisuales premiados en las categorías de Formato Corto y Formato Largo del Concurso Narrativa Digital.,null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/proyeccion-de-los-trabajos-premiados-en-el-concurso-de-narrativa-digital/228625,World Press Photo 2018,10 mayo 2018,10 mayo 2018
1524996631-30,http://www.cccb.org/es/actividades,Flexo 6/6. El turismo. Seminario a cargo de Saida Palou,http://www.cccb.org/es/actividades/ficha/flexo-6-6-el-turismo-seminario-a-cargo-de-saida-palou/227743,Flexo 6/6. El turismo. Seminario a cargo de Saida Palou,http://www.cccb.org/rcs_gene/Flexo_Turisme_webCCCB.jpg,"La literatura, la antropología, el cine, la filosofía, el diseño y la poesía son métodos para reflexionar, para dar lugar a las cosas. En esta edición de Flexo, dirigida por Adrià Pujol bajo el título Los lugares y las cosas, seis pensadores y pensadoras intentarán situar su trabajo, encarnarlo en un lugar concreto a partir de las lecturas que les inspiran.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/flexo-6-6-el-turismo-seminario-a-cargo-de-saida-palou/227743,"De ""Barcelona, destino turístico"", de Saida Palou, a ""Turismo cultural. Entre la experiencia y el ritual"", de José Antonio Donaire","7, 14 y 28 mayo 2018","7, 14 y 28 mayo 2018"
1524996644-38,http://www.cccb.org/es/actividades,La madurez política,http://www.cccb.org/es/actividades/ficha/la-madurez-politica/228577,La madurez política,http://www.cccb.org/rcs_gene/Olalla_1000.jpg,"El ciudadano ha dejado de ser el sujeto político central de nuestras democracias. Partiendo de esta premisa, el helenista Pedro Olalla reflexionará acerca de lo que significa alcanzar la madurez política hoy y qué es una sociedad madura políticamente. ¿Es realmente la política una prerrogativa de la edad adulta? ¿Qué papel debería jugar la educación en la formación de ciudadanos?",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/la-madurez-politica/228577,Conferencia de Pedro Olalla,2 mayo 2018,2 mayo 2018
