"EVENT NAME","VENUE NAME","ORGANIZER NAME","START DATE","START TIME","END DATE","END TIME","ALL DAY EVENT?","CATEGORIES","EVENT COST","EVENT WEBSITE","SHOW MAP LINK?","SHOW MAP?","EVENT DESCRIPTION","EVENT IMAGE"
"JOAN-ARTUR ROURA I COMAS      - L'art de col·leccionar. El mundo de las colecciones privadas","Museo Can Framis","Museo Can Framis","10/09/2017","","01/21/2017","",1,"Exposición, Museo Can Framis, Pintura, Arte local","5","http://www.fundaciovilacasas.com/es/exposicion/lart-de-colleccionar-el-mundo-de-las-colecciones-privadas",1,1,"<p></p>",""
"Alamà                         - Jordi Díaz Alamà","Museo Can Framis","Museo Can Framis","10/09/2017","","01/21/2017","",1,"Exposición, Museo Can Framis, Pintura, Arte local","5","http://www.fundaciovilacasas.com/es/exposicion/jordi-diaz-alama",1,1,"<p><img src='http://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A13820918.jpg' width='228' height='182' alt='Alamà                         - Jordi Díaz Alamà' />Ganador del Premio de Pintura 2016.</p>","https://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A13820918.jpg"
"XAVIER PRAT      - Xavier Prat","Museo Can Framis","Museo Can Framis","06/26/2017","","07/23/2017","",1,"Exposición, Museo Can Framis, Pintura, Arte local","5","http://www.fundaciovilacasas.com/es/exposicion/xavier-prat",1,1,"<p><img src='http://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A14014022.jpg' width='228' height='182' alt='XAVIER PRAT      - Xavier Prat' /></p>","https://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A14014022.jpg"
"Jordi Alcaraz                         - Esborradís","Museo Can Framis","Museo Can Framis","01/23/2017","","06/11/2017","",1,"Exposición, Museo Can Framis, Pintura, Arte local","5","http://www.fundaciovilacasas.com/es/exposicion/esborradis",1,1,"<p><img src='http://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A12541494.jpg' width='228' height='182' alt='Jordi Alcaraz                         - Esborradís' />Jordi Alcaraz (Calella, 1963) es un creador en el intersticio que separa la poesía visual y la proyección conceptual, con una propuesta de aproximación metafórica al objeto. Alcaraz experimenta con materiales frágiles presos de un cierto lirismo –el agua, el vidrio, el espejo, el libro– para trabajar relaciones de tensión entre la materia y tejer un discurso en torno al volumen, el lenguaje y el tiempo. Su obra, que trasciende el límite entre disciplinas, es un alegato a favor de la obra inacabada y el arte como ficción.</p>","https://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A12541494.jpg"
