event_title2,event_start,event_text,event_image-src,event_end,event_category__Exhibition__Espai Volart__Local art,event_organizer__Espai Volart,event_venue__Espai Volart,event_maplink__1,event_cost__1,event_id,event_title1,event_link,event_link-href
Aran Ata,Thursday 19 | January  | 2017 - Sunday 26 | March  | 2017,,https://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A11893259.jpg,Thursday 19 | January  | 2017 - Sunday 26 | March  | 2017,null,null,null,null,null,en/exhibition/aran-ata,,,http://www.fundaciovilacasas.com/en/exhibition/aran-ata
Painted People,Thursday 19 | January  | 2017 - Sunday 26 | March  | 2017,,https://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A11762484.jpg,Thursday 19 | January  | 2017 - Sunday 26 | March  | 2017,null,null,null,null,null,en/exhibition/painted-people,Gonzalo Goytisolo,,http://www.fundaciovilacasas.com/en/exhibition/painted-people
Chamber Music,Thursday 19 | January  | 2017 - Sunday 26 | March  | 2017,"This is an artistic and visual essay concerning the artistic intimacy Francesc Todó (Tortosa, 1922) establishes with the object, with a melancholic gesture moving him to pay homage to the lyricism of music.  Drawings and paintings, nature and machinism compose in “Francesc Todó. Chamber Music” a piece of vibrant colour extolling the everyday via avant-garde figuration.",http://www.fundaciovilacasas.com/img/ico-newl.png,Thursday 19 | January  | 2017 - Sunday 26 | March  | 2017,null,null,null,null,null,en/exhibition/chamber-music,Francesc Todó,,http://www.fundaciovilacasas.com/en/exhibition/chamber-music
