event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exhibition__Galleries,event_maplink__1,event_id
http://www.artbarcelona.es/wp-content/uploads/2016/11/web-ab.jpg,Galeria Alejandro Sales,,http://www.artbarcelona.es/en/expositions/fondos-ineditos/,"Alfredo Alcaín, Jorge Galindo, Dis Berlin, Carlos Swartz, Estrada, Simeón Saiz Ruiz, Ramon Herreros, José Mª Sicilia, Juan Carlos Román, Lluís Lleó, Joan Cardells, Miguel Zapata, Xisco Mensua, Katherine Dowson, Moreno Meyerhoff, Eduard Arbós, Paloma Pélaez.",,21.07.16 – 24.11.16,Galeria Alejandro Sales,Fondos Inéditos,"Collective exhibition of works on paper, which are part of the funds of the Gallery. Until today, they have been rarely exhibited. Becoming in this way a ""new Fund"", formed by drawings of artists such as: Alfredo Alcaín, Dis Berlin, Carlos Swartz, Estrada, Simeón Saiz Ruíz, José María Sicilia, Joan Cardells, Lluís Lleó, Eduard Arbós, or Perdro Moreno Meyerhoff...",null,null,null,http://www.artbarcelona.es/en/expositions/fondos-ineditos/
http://www.artbarcelona.es/wp-content/uploads/2016/11/web-ab.jpg,Galeria Alejandro Sales,,,"Alfredo Alcaín, Jorge Galindo, Dis Berlin, Carlos Swartz, Estrada, Simeón Saiz Ruiz, Ramon Herreros, José Mª Sicilia, Juan Carlos Román, Lluís Lleó, Joan Cardells, Miguel Zapata, Xisco Mensua, Katherine Dowson, Moreno Meyerhoff, Eduard Arbós, Paloma Pélaez.",21.07.16 – 24.11.16,21.07.16 – 24.11.16,Galeria Alejandro Sales,Fondos Inéditos,,null,null,null,http://www.artbarcelona.es/en/expositions/fondos-ineditos/
