web-scraper-order,web-scraper-start-url,event_title,event_start,event_end,event_image-src,event_text,event_link,event_link-href,event_id,event_maplink__1,event_organizer__Fundación Joan Miró,event_venue__Fundación Joan Miró,event_cost__7,event_category__Exposición__Fundación Joan Miró__Próximas inauguraciones
1513978324-100,http://www.fmirobcn.org/exposiciones/,Itō Shinsui. Tradición y modernidad,01/03/2018,20/05/2018,/media/upload/cache/ito_shinsui_davant_del_mirall_1916_crop_151316699762_255.jpg,"La Fundació Joan Miró acoge la obra de uno de los grandes maestros del shin hanga, Itō Shinsui (1898-1972), cuya actitud artística y estética nos ayuda a hacer evidentes las relaciones sutiles y profundas entre la obra de Joan Miró y el pensamiento y el arte japoneses.","sobre ""Itō Shinsui. Tradición y modernidad""",https://www.fmirobcn.org/es/exposiciones/5738/ito-shinsui-tradicion-y-modernidad,/es/exposiciones/5738/ito-shinsui-tradicion-y-modernidad,null,null,null,null,null
1513978324-102,http://www.fmirobcn.org/exposiciones/,Retornos de luz,30/01/2018,13/05/2018,/media/upload/cache/toni_garcia_151309295262_255.gif,"La relación con la cera de abeja ha llevado al maestro cerero Toni Garcia a adentrarse en el mundo de la fotografía. Aproximándose a la sinergia que se crea entre luz y oscuridad, Garcia observa lo que le rodea desde una visión distinta.","sobre ""Retornos de luz""",https://www.fmirobcn.org/es/exposiciones/5737/retornos-de-luz,/es/exposiciones/5737/retornos-de-luz,null,null,null,null,null
