web-scraper-order,web-scraper-start-url,event_link,event_link-href,event_title1,event_image-src,event_text,event_organizer__CCCB,event_maplink__1,event_cost__6,event_venue__CCCB,event_category__CCCB__Exposición,event_id,event_title2,event_start,event_end
1513976545-40,http://www.cccb.org/es/actividades,Vivir la Tierra,http://www.cccb.org/es/actividades/ficha/vivir-la-tierra/227723,Vivir la Tierra,http://www.cccb.org/rcs_gene/Symphony-no-42-Reka-Bucsi-web.jpg,"Este programa de cine de animación, organizado en paralelo a la exposición ""Después del fin del mundo"", quiere transmitirnos las inquietudes y visiones más personales del mundo presente y futuro de artistas como Catya Plate, Réka Bucsi o Steve Cutts.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/vivir-la-tierra/227723,Cine de animación y ecología,"28, 29 y 30 diciembre 2017
3 y 4 enero 2018","28, 29 y 30 diciembre 2017
3 y 4 enero 2018"
1513976488-20,http://www.cccb.org/es/actividades/actuales/2,Flexo 2/6. La imitación. Seminario a cargo de Adriana Beltrán del Río,http://www.cccb.org/es/actividades/ficha/flexo-2-6-la-imitacion-seminario-a-cargo-de-adriana-beltran-del-rio/227603,Flexo 2/6. La imitación. Seminario a cargo de Adriana Beltrán del Río,http://www.cccb.org/rcs_gene/cropped-020ed0127019de37d3e5a752fad8708c.jpg,"La literatura, la antropología, el cine, la filosofía, el diseño y la poesía son métodos para reflexionar, para dar lugar a las cosas. En esta edición de ""Flexo"", dirigida por Adrià Pujol bajo el título Los lugares y las cosas, seis pensadores y pensadoras intentarán situar su trabajo, encarnarlo en un lugar concreto a partir de las lecturas que les inspiran.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/flexo-2-6-la-imitacion-seminario-a-cargo-de-adriana-beltran-del-rio/227603,"De ""El divino Narciso"", de Juana Inés de la Cruz, a ""El encanto es la hermosura, y el hechizo sin hechizo"", de Agustín de Salazar y Torres","24 y 31 enero, 7 febrero 2018","24 y 31 enero, 7 febrero 2018"
1513976551-45,http://www.cccb.org/es/actividades,El Dia Més Curt,http://www.cccb.org/es/actividades/ficha/el-dia-mes-curt/227970,El Dia Més Curt,http://www.cccb.org/rcs_gene/eldiamescurt2017.jpg,¡Cuatro programas para disfrutar del cortometraje en toda su grandeza y diversidad!,null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/el-dia-mes-curt/227970,La fiesta del cortometraje,23 diciembre 2017,23 diciembre 2017
1513976491-21,http://www.cccb.org/es/actividades/actuales/2,La Grecia antigua en la literatura y el pensamiento de la modernidad,http://www.cccb.org/es/actividades/ficha/la-grecia-antigua-en-la-literatura-y-el-pensamiento-de-la-modernidad/227911,La Grecia antigua en la literatura y el pensamiento de la modernidad,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Los personajes mitológicos y literarios de la antigüedad griega irrumpen en la modernidad, especialmente en el Romanticismo, pero también en el punto culminante representado por las vanguardias. No obstante, este retorno del mundo griego es muy distinto al que se había producido durante el Renacimiento. Por un lado, el arte se aleja del ideal clásico de la belleza; por el otro, el pensamiento se adentra en los dominios de lo irracional, lo instintivo y lo inconsciente. Por decirlo de acuerdo con Foucault, el otro de la razón accede al ámbito del saber.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/la-grecia-antigua-en-la-literatura-y-el-pensamiento-de-la-modernidad/227911,Seminario a cargo de Bashkim Shehu,"22 y 29 enero, 5, 12 y 19 febrero, 5 marzo 2018","22 y 29 enero, 5, 12 y 19 febrero, 5 marzo 2018"
1513976499-24,http://www.cccb.org/es/actividades/actuales/2,Datathon sobre la calidad del aire en Barcelona,http://www.cccb.org/es/actividades/ficha/datathon-sobre-la-calidad-del-aire-en-barcelona/227186,Datathon sobre la calidad del aire en Barcelona,http://www.cccb.org/rcs_gene/Qualitat-aire..jpg,El objetivo de esta datathon es el de calibrar un modelo predictivo de la calidad del aire a partir de los datos facilitados.,null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/datathon-sobre-la-calidad-del-aire-en-barcelona/227186,,20 - 21 enero 2018,20 - 21 enero 2018
1513976510-29,http://www.cccb.org/es/actividades/actuales/2,Desierto Líquido,http://www.cccb.org/es/actividades/ficha/desierto-liquido/228193,Desierto Líquido,http://www.cccb.org/rcs_gene/Web_banners_1300x650px.jpg,"Ciclo de proyección de documentales y debates que analizan el impacto sobre nuestra alimentación a causa de los efectos del cambio climático, las repercusiones de las políticas económicas aplicadas a la producción alimentaria y la producción de alimentos y su impacto ambiental.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/desierto-liquido/228193,Documentales sobre alimentación y ecología,16 enero 2018,16 enero 2018
1513976493-22,http://www.cccb.org/es/actividades/actuales/2,Conferencia de Vandana Shiva,http://www.cccb.org/es/actividades/ficha/conferencia-de-vandana-shiva/228149,Conferencia de Vandana Shiva,http://www.cccb.org/rcs_gene/Vandana_Shiva_1000_2.jpg,"Vandana Shiva, física y activista ecofeminista, visitará el CCCB con motivo de la publicación de la traducción de su ensayo ¿Quién alimenta realmente el mundo? (Capitán Swing, 2018), para reflexionar sobre el rol que debe asumir la humanidad en un futuro condicionado por los efectos ecológicos, econòmicos, políticos y sociales de la crisis climática vigente.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/conferencia-de-vandana-shiva/228149,,22 enero 2018,22 enero 2018
1513976547-42,http://www.cccb.org/es/actividades,Animac en el CCCB,http://www.cccb.org/es/actividades/ficha/animac-en-el-cccb/227722,Animac en el CCCB,http://www.cccb.org/rcs_gene/animac_fitxa_2.jpg,"El CCCB presenta Animac Camina, una síntesis de lo que fue la última edición del festival ANIMAC de Lérida.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/animac-en-el-cccb/227722,Contra el viento,"28, 29 y 30 diciembre 2017
3 y 4 enero 2018","28, 29 y 30 diciembre 2017
3 y 4 enero 2018"
1513976533-30,http://www.cccb.org/es/actividades,De la traición,http://www.cccb.org/es/actividades/ficha/de-la-traicion/228025,De la traición,http://www.cccb.org/rcs_gene/de_la_traicio.jpg,El filósofo Avishai Margalit reflexionará sobre la traición y su relación con la ética y la moral,null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/de-la-traicion/228025,Conferencia de Avishai Margalit,15 enero 2018,15 enero 2018
