event_link,event_link-href,event_title,event_image-src,event_text,event_start,event_end,event_maplink__1,event_cost__4,event_organizer__Fundación Suñol,event_venue__Fundación Suñol,event_category__Exposición__Fundación Suñol__Arte contemporáneo,event_id
AULA 3. Red de información.  Sesiones entorno la exposición Camins Encontrats.,http://www.fundaciosunol.org/es/event/aula-3-xarxa-dinformacio-sessions-entorn-lexposicio-camins-encontrats/?instance_id=2409,AULA 3. Red de información.  Sesiones entorno la exposición Camins Encontrats.,http://www.fundaciosunol.org/wp-content/uploads/2016/11/DSC_3536-710x350.jpg,"La red de información del dispositivo exposición ofrece un espacio de comunicación y de encuentro que se concreta en el vestíbulo de las salas donde se muestran y ofrecen los materiales informativos del programa. Durante el período de tiempo previsto para la actividad, se han programado una serie de encuentros para desarrollar algunos aspectos relacionados con los ejes centrales del proyecto y con el trabajo de Rabascall. Además del programa adjunto en el que se especifican los temas de discusión, se recoge información específica sobre los diferentes temas que se encuentra disponible para todos los interesados. La intención de los organizadores del proyecto Camins encontrats y de la exposición que nos ocupa es que el aula se convierta en un espacio esencial para profundizar y reflexionar críticamente sobre los contenidos y los objetivos expuestos.",07.02.2017,07.02.2017,null,null,null,null,null,AULA 3. Red de información.  Sesiones entorno la exposición Camins Encontrats.
DARÍO VILLALBA. Resplandor seco,http://www.fundaciosunol.org/es/event/dario-villalba-resplandor-seco/?instance_id=2418,DARÍO VILLALBA. Resplandor seco,http://www.fundaciosunol.org/wp-content/uploads/2016/11/AMOR-KRANKENHAUS-DUREN-I-II-710x350.jpg,"La Fundació Suñol presenta la exposición Resplandor seco del artista Darío Villalba (San Sebastián, 1939), que recoge una selección de más de treinta obras provenientes de la Colección Josep Suñol y del fondo personal del artista.",23.11.2016 - 11.03.2017,23.11.2016 - 11.03.2017,null,null,null,null,null,DARÍO VILLALBA. Resplandor seco
AULA 2. Red de información.  Sesiones entorno la exposición Camins Encontrats.,http://www.fundaciosunol.org/es/event/aula-2-xarxa-dinformacio-sessions-entorn-lexposicio-camins-encontrats/?instance_id=2408,AULA 2. Red de información.  Sesiones entorno la exposición Camins Encontrats.,http://www.fundaciosunol.org/wp-content/uploads/2016/11/DSC_3536-710x350.jpg,"La red de información del dispositivo exposición ofrece un espacio de comunicación y de encuentro que se concreta en el vestíbulo de las salas donde se muestran y ofrecen los materiales informativos del programa. Durante el período de tiempo previsto para la actividad, se han programado una serie de encuentros para desarrollar algunos aspectos relacionados con los ejes centrales del proyecto y con el trabajo de Rabascall. Además del programa adjunto en el que se especifican los temas de discusión, se recoge información específica sobre los diferentes temas que se encuentra disponible para todos los interesados. La intención de los organizadores del proyecto Camins encontrats y de la exposición que nos ocupa es que el aula se convierta en un espacio esencial para profundizar y reflexionar críticamente sobre los contenidos y los objetivos expuestos.",10.01.2017,10.01.2017,null,null,null,null,null,AULA 2. Red de información.  Sesiones entorno la exposición Camins Encontrats.
