web-scraper-order,web-scraper-start-url,event_title,event_text,event_start,event_end,event_venue__Hangar,event_link,event_link-href,event_category__Actividad__Espacios alternativos__Taller,event_maplink__1,event_cost__,event_id,event_image-src,event_organizer__Hangar
1537085321-37,https://hangar.org/es/category/programa-hangar/formacio-continua/,"Imagen espacio: Videomapping, cine expandido y realidad aumentada","8, 10, 12, 15, 17, 19, 22, 24, 26 octubre 2018 - Hangar","8, 10, 12, 15, 17, 19, 22, 24, 26 octubre 2018 - Hangar","8, 10, 12, 15, 17, 19, 22, 24, 26 octubre 2018 - Hangar",null,,https://hangar.org/es/programa-hangar/formacio-continua/imatge-espai-videomapping-cinema-expandit-i-realitat-augmentada/,null,null,null,https://hangar.org/es/programa-hangar/formacio-continua/imatge-espai-videomapping-cinema-expandit-i-realitat-augmentada/,https://hangar.org/webnou/wp-content/uploads/2018/07/32858253_1610191509100144_9132562091616501760_n-200x150.jpg,null
1537085342-45,https://hangar.org/es/category/programa-hangar/formacio-continua/,Control de sintetizadores modulares con Max 7 y Max4Live con Francisco Colasanto,17 octubre,17 octubre,17 octubre,null,,https://hangar.org/es/programa-hangar/formacio-continua/control-de-sintetitzadors-modulars-amb-max-7-i-max4live-amb-francisco-colasanto/,null,null,null,https://hangar.org/es/programa-hangar/formacio-continua/control-de-sintetitzadors-modulars-amb-max-7-i-max4live-amb-francisco-colasanto/,https://hangar.org/webnou/wp-content/uploads/2018/09/zeppelin2018-200x150.jpg,null
1537085328-38,https://hangar.org/es/category/programa-hangar/formacio-continua/,Curso de modelaje digital y diseño de prototipos. Introducción a herramientas de modelado 2D y 3D,"19, 22, 26, 29 septiembre 2018 - Hangar","19, 22, 26, 29 septiembre 2018 - Hangar","19, 22, 26, 29 septiembre 2018 - Hangar",null,,https://hangar.org/es/programa-hangar/formacio-continua/curs-de-modelaje-digital-i-disseny-de-prototips-introduccio-a-eines-de-modelatge-2d-i-3d-per-disenadorxs/,null,null,null,https://hangar.org/es/programa-hangar/formacio-continua/curs-de-modelaje-digital-i-disseny-de-prototips-introduccio-a-eines-de-modelatge-2d-i-3d-per-disenadorxs/,https://hangar.org/webnou/wp-content/uploads/2018/07/render-1-2-1-200x150.png,null
1537085439-74,https://hangar.org/es/category/workshops-artist2artists/,Grigri Pixel: Taller de Fabricación de mobiliario urbano para el pasaje Trullàs,del 2 al 11 noviembre,del 2 al 11 noviembre,del 2 al 11 noviembre,null,,https://hangar.org/es/workshops-artist2artists/gri-gri-pixel-taller-de-fabricacio-de-mobiliari-urba-per-al-passatge-trullas/,null,null,null,https://hangar.org/es/workshops-artist2artists/gri-gri-pixel-taller-de-fabricacio-de-mobiliari-urba-per-al-passatge-trullas/,https://hangar.org/webnou/wp-content/uploads/2017/03/PORTADA-POST-GRIGRI-200x150.jpg,null
1537085359-56,https://hangar.org/es/category/programa-hangar/formacio-continua/,Taller de creación en 16mm,2 y 3 noviembre,2 y 3 noviembre,2 y 3 noviembre,null,,https://hangar.org/es/news/taller-de-creacio-en-16mm/,null,null,null,https://hangar.org/es/news/taller-de-creacio-en-16mm/,https://hangar.org/webnou/wp-content/uploads/2018/09/Taller-de-creación-en-16mm-200x150.jpg,null
1537085362-59,https://hangar.org/es/category/programa-hangar/formacio-continua/,"Taller “Piratas Profetas y Parasitoides, configura tu vida digital”","10, 11, 18, 26 octubre 2018","10, 11, 18, 26 octubre 2018","10, 11, 18, 26 octubre 2018",null,,https://hangar.org/es/programa-hangar/formacio-continua/taller-piratas-profetes-i-parasitoides-configura-la-teva-digital/,null,null,null,https://hangar.org/es/programa-hangar/formacio-continua/taller-piratas-profetes-i-parasitoides-configura-la-teva-digital/,https://hangar.org/webnou/wp-content/uploads/2018/09/Beautifulfriendship-200x150.jpeg,null
1537085352-52,https://hangar.org/es/category/programa-hangar/formacio-continua/,Imagen Porno,"19, 20 y 21 noviembre","19, 20 y 21 noviembre","19, 20 y 21 noviembre",null,,https://hangar.org/es/news/imatge-porno/,null,null,null,https://hangar.org/es/news/imatge-porno/,https://hangar.org/webnou/wp-content/uploads/2018/09/tumblr_nlz9uoOf4D1s71eguo1_500-200x150.gif,null
