web-scraper-start-url,event_link,event_link-href,event_title,event_image-src,event_text,event_start,event_end,event_maplink__1,event_cost__12,event_organizer__MNAC,event_venue__MNAC,event_category__Exposición__MNAC__Arte Clásico__Próximas inauguraciones,event_id
http://www.museunacional.cat/es/exposiciones-futuras,Habitación,http://www.museunacional.cat/es/habitacion,Habitación,http://www.museunacional.cat/sites/default/files/images/field_exibition_images/ad05144.jpg,null,null,null,null,null,null,null,null,Habitación
http://www.museunacional.cat/es/exposiciones-futuras,El arte a las puertas del 68: Pop y nuevas prácticas artísticas en Cataluña,http://www.museunacional.cat/es/el-arte-las-puertas-del-68-pop-y-nuevas-practicas-artisticas-en-catalunya,El arte a las puertas del 68: Pop y nuevas prácticas artísticas en Cataluña,http://www.museunacional.cat/sites/default/files/images/field_exibition_images/norman_narotzky.jpg,null,null,null,null,null,null,null,null,El arte a las puertas del 68: Pop y nuevas prácticas artísticas en Cataluña
