web-scraper-start-url,event_title,event_text,event_start,event_end,event_venue__Hangar,event_link,event_link-href,event_category__Actividad__Espacios alternativos__Taller,event_maplink__1,event_cost__,event_id,event_image-src,event_organizer__Hangar
https://hangar.org/es/category/programa-hangar/formacio-continua/,Taller intensivo “Adquisición y uso crítico del inglés para artistas y trabajadores de la cultura”,16 y 17 diciembre,16 y 17 diciembre,16 y 17 diciembre,null,,https://hangar.org/es/programa-hangar/formacio-continua/taller-adquisicio-i-lus-critic-de-l-angles-per-a-artistes-i-treballadors-de-la-cultura/,null,null,null,https://hangar.org/es/programa-hangar/formacio-continua/taller-adquisicio-i-lus-critic-de-l-angles-per-a-artistes-i-treballadors-de-la-cultura/,https://hangar.org/webnou/wp-content/uploads/2017/07/angles-200x150.jpg,null
https://hangar.org/es/category/programa-hangar/formacio-continua/,Taller gratuito de edición con Adobe Premiere,28 y 30 de noviembre 2017 - Hangar,28 y 30 de noviembre 2017 - Hangar,28 y 30 de noviembre 2017 - Hangar,null,,https://hangar.org/es/news/taller-gratuit-dedicio-amb-adobe-premiere/,null,null,null,https://hangar.org/es/news/taller-gratuit-dedicio-amb-adobe-premiere/,https://hangar.org/webnou/wp-content/uploads/2017/11/3kikol-200x150.jpeg,null
