event_link,event_link-href,event_title,event_image-src,event_text,event_start,event_end,event_maplink__1,event_cost__12,event_organizer__MNAC,event_venue__MNAC,event_category__Exposición__MNAC__Arte Clásico,event_id
America Sanchez. Retratos románicos. Tintas sobre papel,http://www.museunacional.cat/es/america-sanchez,America Sanchez. Retratos románicos. Tintas sobre papel,http://www.museunacional.cat/sites/default/files/foto_01.jpg,Álbum de la exposición a Flickr,28/01/2016,28/03/2016,null,null,null,null,null,America Sanchez. Retratos románicos. Tintas sobre papel
Obras de la colección de Antonio Gallardo Ballart en el Museu Nacional d'Art de Catalunya. Un ingreso para el siglo XXI,http://www.museunacional.cat/es/obras-de-la-coleccion-de-antonio-gallardo-ballart,Obras de la colección de Antonio Gallardo Ballart en el Museu Nacional d'Art de Catalunya. Un ingreso para el siglo XXI,http://www.museunacional.cat/sites/default/files/fragament_0.jpg,null,17/03/2016,29/05/2016,null,null,null,null,null,Obras de la colección de Antonio Gallardo Ballart en el Museu Nacional d'Art de Catalunya. Un ingreso para el siglo XXI
