event_title1,event_title2,event_image-src,event_text,event_start,event_end,event_venue,event_link,event_link-href,event_organizer__MACBA,event_category__Actividad__MACBA,event_maplink__1,event_cost__,event_id
Departamento Exotérico 2017,Grupo de autoformación en arte,http://www.macba.cat/uploads/20170314/Dep.exotn_ric_dibuix_Jordi.3.jpg,"Departamento exotérico es un proyecto artístico y una plataforma educativa dirigida a estudiantes de grados universitarios, ciclos de formación y enseñanzas artísticas. El proyecto indaga en la posibilidad de generar un espacio para el intercambio de ideas, experiencias y conocimientos entorno y a partir del arte contemporáneo desde un planteamiento educativo que propicia la horizontalidad y la autogestión entre sus participantes. 



Departamento exotérico se desarrolla de febrero a diciembre, a partir de una serie de sesiones diversas que combinan charlas, visitas a diferentes espacios culturales, visionados y sesiones con invitados. Bajo la consigna ""¿Qué quieres aprender? ¿Qué puedes enseñar?"", los intereses de los participantes construyen la programación del proyecto y abren un espacio donde poder acceder a respuestas alternativas a las del contexto educativo reglado.",01 ene.,31 dic. 2017,,,http://www.macba.cat/es/departamento-exoterico-2017/1//activ,null,null,null,null,/es/departamento-exoterico-2017/1//activ
Lorem Ipsum,"Lorem Ipsum, extravagancia sonora las noches de los jueves de julio en el MACBA",http://www.macba.cat/uploads/20170614/bat_parl.4.png,"¿Qué pasa cuando el virtuosismo del percusionista de N.M.O. pone a prueba su vigorexia hasta la extenuación, acompañado por la adrenalina de la cultura de club y el vocabulario de la computer music? ¿Qué pasa cuando Judy Dunaway manosea, estruja y tensa la delicada superficie de un globo de látex, como si fuese una extensión de su gesto y su cuerpo? ¿Qué pasa cuando Alex Mendizabal coge ese mismo instrumento, lo tunea y llena todo el espacio de globos durante todo un día? ¿Qué pasa cuando los hits del rap pasan por el filtro vocal de Lina Lapelyte? ¿Qué pasa cuando Fela Borbone convierte su síndrome de Diógenes en un Mierdofón? ¿Qué le pasa por la cabeza a Goodiepal? Lorem Ipsum pasa.



Lorem Ipsum presenta una serie de propuestas que operan en los márgenes y los pliegues de muchas cosas a la vez: música, performance, investigación artística, experimentación; operaciones diversas, dispares y disparatadas, de desplazamiento de lenguajes, significados, gestos y objetos, desde lo musical, en busca de una amable extrañeza.



Comisariado por Alicia Escobio y Anna Ramos",06 jul.,27 jul. 2017,,,http://www.macba.cat/es/lorem-ipsum/1//activ,null,null,null,null,/es/lorem-ipsum/1//activ
