event_title2,event_start,event_text,event_image-src,event_end,event_category__Exposición__Espai Volart__Arte local,event_organizer__Espai Volart,event_venue__Espai Volart,event_maplink__1,event_cost__1,event_id,event_title1,event_link,event_link-href
Aran Ata,Jueves 19 | Enero  | 2017 - Domingo 26 | Marzo  | 2017,"De trazo abstracto y con un equilibro compositivo que alterna impulso y racionalidad, Sergi Barnils (Bata, Guinea Ecuatorial, 1954) recupera el uso de la clásica encáustica griega y romana para la conjugación de la materialidad de la pintura con un sueño de encuentro con lo trascendente. Luz, color y emoción crean en “Sergi Barnils. Aran Ata”, a cargo de Glòria Bosch, un reducto para la admiración del gesto y la turbación del espíritu.",https://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A11893259.jpg,Jueves 19 | Enero  | 2017 - Domingo 26 | Marzo  | 2017,null,null,null,null,null,es/exposicion/aran-ata,,,http://www.fundaciovilacasas.com/es/exposicion/aran-ata
Personas pintadas,Jueves 19 | Enero  | 2017 - Domingo 26 | Marzo  | 2017,,https://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A11762484.jpg,Jueves 19 | Enero  | 2017 - Domingo 26 | Marzo  | 2017,null,null,null,null,null,es/exposicion/personas-pintadas,Gonzalo Goytisolo,,http://www.fundaciovilacasas.com/es/exposicion/personas-pintadas
Una música de cámara,Jueves 19 | Enero  | 2017 - Domingo 26 | Marzo  | 2017,,http://www.fundaciovilacasas.com/img/ico-newl.png,Jueves 19 | Enero  | 2017 - Domingo 26 | Marzo  | 2017,null,null,null,null,null,es/exposicion/una-musica-de-camara,Francesc Todó,,http://www.fundaciovilacasas.com/es/exposicion/una-musica-de-camara
