event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galerías,event_maplink__1,event_id
http://www.artbarcelona.es/wp-content/uploads/2016/09/DAVID-TREMLETT-ROLL-ON-PALERMO-1-122x150-2016.jpg,Galería Miguel Marcos,,http://www.artbarcelona.es/es/exposiciones/new-working-drawings/,David Tremlett,,29.09.16 – 30.11.16,Galería Miguel Marcos,New Working Drawings,"David Tremlett ( St.Austell, Cornwall, Inglaterra, 1945), uno de los artistas más versátiles de su generación. Su obra destaca por un estilo personal y único, que le ha proporcionado una posición central en el panorama artístico internacional.
Bajo el título “New Working Drawings” , la Galería Miguel Marcos presenta por primera vez su obra en una galería de Barcelona. En esta exposición se presentan trabajos realizados en dos técnicas distintas: pastel sobre soporte de papel, y una intervención en los muros del espacio de la galería (wall drawing) creada especialmente para esta exposición. Según David Tremlett, define la técnica del pastel como ""Es un polvo frágil, delicado, tan ligero que se puede soplar, pero al mismo tiempo se puede hacer algo fuerte, exigente y estructuralmente resistente”. Con este material específico, se encuentra la fuerza de expresión del artista, por la propia naturaleza de sus componentes.
La obra de Tremlett se apoya en la arquitectura, la desnudez y la espiritualidad, basándose en la idea del desplazamiento en el tiempo y en el espacio y describiendo un mundo imaginario y memorable cuyas circunvoluciones están en resonancia con un errar legendario. Cada una de sus realizaciones procede de lo que se llama una proyección, así el muro se le aparece como un nuevo campo de experimentación, de un nuevo viaje. No implica separación, sino apertura. No es fragmento, sino totalidad. En su extensión, en su espesor, en su capacidad de resonar, se ofrece como el lugar ideal y prospectivo de todas las memorias.
Con esta presencia simple a la vez profunda, la galería invita al público a una visión introspectiva a la trayectoria infinita del artista en una contextualización intercultural y interdisciplinaria suscitando corrientes y flujos invisibles que están conectados entre sí.
La obra de Tremlett forma parte de algunos de los museos y colecciones públicas más prestigiosos del mundo como el Arts Council Collection (Londres, Reino Unido); Tate Gallery de Londres, (Reino Unido); Musée National d'Art Moderne de París (Centre Georges Pompidou) (Francia); Biblioteca Nacional de Paris (Francia); The British Embassy, Berlin (Alemania); Stedelijk Museum, Amsterdam (Alemania); Art Gallery of N.S.W, Sydney (Australia); Museum of Modern Art, Bruselas (Bélgica); el Museo de Arte Moderno de Nueva York (MOMA); Museum of Contemporary Art, Helsinki (Finlandia); The International Forum, Tokyo (Japón) o Cabinet des Estampes, Ginebra (Suiza), entre muchos otros…",null,null,null,http://www.artbarcelona.es/es/exposiciones/new-working-drawings/
http://www.artbarcelona.es/wp-content/uploads/2016/09/DAVID-TREMLETT-ROLL-ON-PALERMO-1-122x150-2016.jpg,Galería Miguel Marcos,,,David Tremlett,29.09.16 – 30.11.16,29.09.16 – 30.11.16,Galería Miguel Marcos,New Working Drawings,,null,null,null,http://www.artbarcelona.es/es/exposiciones/new-working-drawings/
