event_link,event_link-href,event_title,event_image-src,event_text,event_start,event_end,event_maplink__1,event_cost__0,event_organizer__La Virreina,event_venue__La Virreina,event_category__Exposición__La Virreina__Arte contemporáneo,event_id
"Alexander Kluge. Jardines de cooperación","http://ajuntament.barcelona.cat/lavirreina/es/exposiciones/alexander-kluge-jardines-de-cooperacion","Alexander Kluge. Jardines de cooperación","http://ajuntament.barcelona.cat/lavirreina/sites/default/files/styles/large/public/62_ob_manifest_publ_0.jpg","null","05.11.2016 - 05.02.2017","05.11.2016 - 05.02.2017","null","null","null","null","null","Alexander Kluge. Jardines de cooperación"
"Copi. La hora de los monstruos","http://ajuntament.barcelona.cat/lavirreina/es/exposiciones/copi-la-hora-de-los-monstruos","Copi. La hora de los monstruos","http://ajuntament.barcelona.cat/lavirreina/sites/default/files/styles/large/public/img_2851.jpg","null","05.11.2016 - 05.02.2017","05.11.2016 - 05.02.2017","null","null","null","null","null","Copi. La hora de los monstruos"
