event_link,event_link-href,event_start,event_end,event_image-src,event_title1,event_title2,event_text,event_maplink__1,event_cost__0,event_category__Exposición__La Capella__Arte emergente__Arte local__Próximas inauguraciones,event_organizer__La Capella,event_venue__La Capella,event_id
"Remover con una vara de madera","http://lacapella.bcn.cat/es/exposicions/remover-con-una-vara-de-madera","Miércoles, 11 Octubre, 2017","Domingo, 7 Enero, 2018","http://lacapella.bcn.cat/sites/default/files/styles/bildresumen/public/exposicions/cappella_remover_web.jpg","Remover con una vara de madera","Matteo Guidi","¿Es un fantasma, el ser con quien se relaciona ese hombre dibujado con una vara en la mano que vemos en la pieza central de la exposición? ¿Quièn es ese hombre? ¿Qué intenta hacer? Parece que da palos de ciego, pero podría ser que solo sea alguien que realiza una actividad práctica que le han ordenado, como remover una tela. ¿O es una bandera y la está ondeando? Y si es una bandera, ¿de qué color es? Parece blanca. Entonces tal vez se esté rindiendo. ¿Y si lo importante no fuera tanto lo que mueve o remueve, sino lo que pueda haber bajo la tela?","null","null","null","null","null","/es/exposicions/remover-con-una-vara-de-madera"
"Talk trouble","http://lacapella.bcn.cat/es/exposicions/talk-trouble","Miércoles, 11 Octubre, 2017","Domingo, 7 Enero, 2018","http://lacapella.bcn.cat/sites/default/files/styles/bildresumen/public/exposicions/claudia_pages_2.jpg","Talk trouble","Clàudia Pagès","Talk Trouble es una exposición que muestra diferentes líneas de investigación centradas en las estructuras y sistemas de circulación del habla. Un eje lingüístico, sonoro y performativo que se expande hacia registros diversos como el texto, el objeto o la instalación.","null","null","null","null","null","/es/exposicions/talk-trouble"
