event_title2,event_start,event_text,event_image-src,event_end,event_base-url__http://www.fundaciovilacasas.com/es/exposiciones-y-actividades/espai-volart-barcelona/_m:1/,event_category__Exposición__Espai Volart__Pintura,event_organizer__Espai Volart,event_venue__Espai Volart,event_maplink__1,event_cost__1,event_id,event_title1
"Patrim 2014","9 julio 2015- 26 julio 2015","La exposición Patrim recoge una selección de obras de los estudiantes del último curso de Bellas Artes de la Universitat de Barcelona. Esta iniciativa, que surgió en los años ochenta del siglo pasado y es de carácter anual, reúne inquietudes, investigaciones y exploraciones en los lenguajes del arte, que cada alumno ha desarrollado en el tramo final de sus estudios. El resultado es un alto nivel de propuestas que suscitan reflexiones intelectuales interesantes sobre aspectos de la sociedad contemporánea.","http://www.fundaciovilacasas.com/_images/c_event/125/4333_m.jpg","9 julio 2015- 26 julio 2015","null","null","null","null","null","null","Patrim 2014","null"
"LIII Premio de Dibujo Ynglada-Guillot","9 julio 2015- 26 julio 2015","La Fundació Ynglada-Guillot instituyó el Premio de Dibujo el año de su fundación, el 1959. Desde entonces convoca anualmente este certament, que cuenta con la colaboración de la Reial Acadèmia de Belles Arts de Sant Jordi y la Fundació Vila Casas. La exposición muestra la versatilidad y contundencia de la técnica del dibujo en todos los trabajos ganadores en esta 53ª edición.","http://www.fundaciovilacasas.com/_images/c_event/124/4154_m.jpg","9 julio 2015- 26 julio 2015","null","null","null","null","null","null","LIII Premio de Dibujo Ynglada-Guillot","null"
