web-scraper-order,web-scraper-start-url,event_link,event_link-href,event_text,event_title2,event_title1,event_start,event_end,event_image-src,event_maplink__1,event_cost__0,event_organizer__Arts Santa Mónica,event_venue__Arts Santa Mónica,event_id,event_category__Exposición__Arts Santa Mónica__Próximas inauguraciones
1528238061-176,http://artssantamonica.gencat.cat/es/exposicions/index.html,,http://artssantamonica.gencat.cat/es/detall/auto-matic,"La exposición presenta el trabajo de Machinic Protocols, una línea de investigación del Instituto de Arquitectura Avanzada de Cataluña dirigida por el arquitecto Edouard Cabay. El trabajo presentado plantea los límites y posibilidades del dibujo generado a partir de datos tratados matemáticamente y mecánicamente frente al dibujo tradicional; genera cuestiones sobre la reproductividad, el rol del azar y del accidente como fuente de experimentación creativa.",null,auto-màtic,29.06 - 02.09.2018,29.06 - 02.09.2018,/web/.content/Imatge/2018/Exposicions/Auto-matic/Auto-matic_a_606x420.jpg_356955165.jpg,null,null,null,null,/es/detall/auto-matic,null
1528238063-177,http://artssantamonica.gencat.cat/es/exposicions/index.html,,http://artssantamonica.gencat.cat/es/detall/Convivencia,"Una mostra col·lectiva de fotografia creativa en la qual participen catorze fotògrafs del Camp de Tarragona.
Una posada en valor i una reflexió sobre els catorze monuments del patrimoni romà de Tarragona inclosos en la declaració de la UNESCO de l’any 2000 com a Patrimoni de la Humanitat.
Com conviuen uns monuments fets i dissenyats per a uns usos determinats fa dos mil anys amb la nostra societat actual?
És una bona convivència o una mala convivència?
Els catorze fotògrafs ens ajuden a formar-nos opinió.
Fotògrafs i fotografíes:
Ferran Aguilar / Pedrera del Mèdol
Gerard Boyer / Teatre
Jordi Brú / Torre dels Escipions
Jorge Conde / Necròpolis Paleocristiana
Ramon Cornadó / Muralles
Pep Escoda / Fòrum Provincial
Montse Ferré / Aqüeducte
Ram Giner / Vil·la dels Munts
Rafael López-Monné / Amfiteatre
Verònica Moragas / Recinte de culte
Rubén Perdomo / Fòrum de la Colonia
Montse Riera / Arc de Berà
Laura Rodríguez / Circ
Cristina Serra / Vil·la-Mausoleu de Centcelles","Creació, Patrimoni de la Humanitat i contemporaneïtat a través dels ulls de catorze fotògrafs tarragonins",Convivència,31.05-15.07.2018,31.05-15.07.2018,/web/.content/Imatge/2018/Exposicions/Convivencia/Convivencia1.jpg_356955165.jpg,null,null,null,null,/es/detall/Convivencia,null
