event_link,event_link-href,event_title1,event_image-src,event_text,event_organizer__CCCB,event_maplink__1,event_cost__6,event_venue__CCCB,event_category__CCCB__Exposición,event_id,event_title2,event_start,event_end
Diálogo entre David Fernàndez y Xavier Antich,http://www.cccb.org/es/actividades/ficha/dialogo-entre-david-fernandez-y-xavier-antich/227421,Diálogo entre David Fernàndez y Xavier Antich,http://www.cccb.org/rcs_gene/montajeFernandezAntich1000.jpg,"En esta sesión, el periodista y activista David Fernàndez y el filósofo Xavier Antich hablarán de la idea de revolución en el contexto político de los últimos años en Cataluña, desde la irrupción del 15M hasta la lucha por la independencia, y sobre las posibilidades transformadoras de este nuevo paisaje político.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/dialogo-entre-david-fernandez-y-xavier-antich/227421,,16 octubre 2017,16 octubre 2017
La revolución hoy,http://www.cccb.org/es/actividades/ficha/la-revolucion-hoy/227336,La revolución hoy,http://www.cccb.org/rcs_gene/AngelaDavis1000.jpg,"Angela Davis (Birmingham, 1944) es política, activista y profesora emérita de la Universidad de California Santa Cruz. Considerada una de les grandes luchadoras históricas por los derechos humanos y contra la discriminación racial, en esta conferencia hablará del significado de la revolución en nuestros tiempos.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/la-revolucion-hoy/227336,Conferencia de Angela Davis,9 octubre 2017,9 octubre 2017
"Idea, palabra y acción",http://www.cccb.org/es/actividades/ficha/idea-palabra-y-accion/227333,"Idea, palabra y acción",http://www.cccb.org/rcs_gene/Arundhati_Roy1000.jpg,"Arundhati Roy (Meghalaya, 1961) es escritora y activista, reconocida tanto por sus libros de ficción como por sus escritos sobre política, medio ambiente y derechos humanos. En esta sesión, hablará sobre su trayectoria política y literaria, en el marco de la publicación en castellano de su última obra de ficción, El ministerio de la felicidad suprema (Anagrama, 2017).",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/idea-palabra-y-accion/227333,Conversación con Arundhati Roy,2 octubre 2017,2 octubre 2017
Taller «Extreme Frames»,http://www.cccb.org/es/actividades/ficha/taller-extreme-frames/227372,Taller «Extreme Frames»,http://www.cccb.org/rcs_gene/Triumph_of_the_Wild.jpg,"La artista y animadora experimental Martha Colburn imparte un taller práctico sobre diferentes técnicas de stop motion desde una aproximación punk y ""do it yourself"".",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/taller-extreme-frames/227372,Taller de animación stop-motion a cargo de Martha Colburn,3 - 5 octubre 2017,3 - 5 octubre 2017
Migraciones: La revolución del S. XXI,http://www.cccb.org/es/actividades/ficha/migraciones-la-revolucion-del-s-xxi/227337,Migraciones: La revolución del S. XXI,http://www.cccb.org/rcs_gene/Krastev1000.jpg,"Ivan Krastev (Lukovit, 1965) es politólogo y presidente del Centro de Estrategias Liberales de Sofia, Bulgaria, y miembro fundador del Consejo Europeo de Relaciones Exteriores. En esta conferencia, hablará de las migraciones internacionales como movimiento revolucionario del S. XXI.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/migraciones-la-revolucion-del-s-xxi/227337,Conferencia de Ivan Krastev,23 octubre 2017,23 octubre 2017
Conversación con Chimamanda Ngozi Adichie,http://www.cccb.org/es/actividades/ficha/conversacion-con-chimamanda-ngozi-adichie/227335,Conversación con Chimamanda Ngozi Adichie,http://www.cccb.org/rcs_gene/Chimamanda_1000.jpg,"Chimamanda Ngozi Adichie, una de las escritoras nigerianas de mayor eco internacional, hablará de temas clave de su obra, como la diáspora africana, la cuestión de la raza, el feminismo o la situación política en Estados Unidos.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/conversacion-con-chimamanda-ngozi-adichie/227335,La escritora nigeriana habla con la periodista Anna Guitart,4 octubre 2017,4 octubre 2017
