event_title,event_text,event_start,event_end,event_venue__Hangar,event_link,event_link-href,event_category__Actividad__Espacios alternativos__Taller,event_maplink__1,event_cost__,event_id,event_image-src,event_organizer__Hangar
Taller de sistemas interactivos y visión artificial con C++ / OpenFrameworks,"3, 5, 10, 17, 19, 24, 26, 31  octubre 2017 / 18:30-21:30","3, 5, 10, 17, 19, 24, 26, 31  octubre 2017 / 18:30-21:30","3, 5, 10, 17, 19, 24, 26, 31  octubre 2017 / 18:30-21:30",null,,https://hangar.org/es/news/espanol-taller-de-sistemas-interactivos-y-vision-artificial-con-c-openframeworks/,null,null,null,https://hangar.org/es/news/espanol-taller-de-sistemas-interactivos-y-vision-artificial-con-c-openframeworks/,https://hangar.org/webnou/wp-content/uploads/2017/07/sis-inter1-200x150.jpg,null
Taller de impresión 3D a cargo de Patricio Rivera,"11, 13, 15 diciembre 2017 / 18:30-21:30","11, 13, 15 diciembre 2017 / 18:30-21:30","11, 13, 15 diciembre 2017 / 18:30-21:30",null,,https://hangar.org/es/news/espanol-taller-de-impresion-3d-a-cargo-de-patricio-rivera/,null,null,null,https://hangar.org/es/news/espanol-taller-de-impresion-3d-a-cargo-de-patricio-rivera/,https://hangar.org/webnou/wp-content/uploads/2017/07/18ppd6d7pkzzzjpg-200x150.jpg,null
Taller de Video mapping aplicado a la instalación y la escenografía,"5, 7, 12, 14, 19 y 21 diciembre 2017 / 18:30-21:30","5, 7, 12, 14, 19 y 21 diciembre 2017 / 18:30-21:30","5, 7, 12, 14, 19 y 21 diciembre 2017 / 18:30-21:30",null,,https://hangar.org/es/workshops-artist2artists/espanol-taller-de-video-mapping-aplicado-a-la-instalacion-y-la-escenografia/,null,null,null,https://hangar.org/es/workshops-artist2artists/espanol-taller-de-video-mapping-aplicado-a-la-instalacion-y-la-escenografia/,https://hangar.org/webnou/wp-content/uploads/2017/07/mapping3-200x150.jpg,null
Taller “Teatro de Guerrilla” a cargo de Sacchi-De Santo,13 al 17 noviembre 2017 / de 19h a 22h,13 al 17 noviembre 2017 / de 19h a 22h,13 al 17 noviembre 2017 / de 19h a 22h,null,,https://hangar.org/es/news/taller-teatro-de-guerrilla-a-carrec-de-sacchi-de-santo/,null,null,null,https://hangar.org/es/news/taller-teatro-de-guerrilla-a-carrec-de-sacchi-de-santo/,https://hangar.org/webnou/wp-content/uploads/2017/07/tallerteatrodeguerrilla-200x150.jpg,null
