event_title,event_start,event_end,event_image-src,event_text,event_link,event_link-href,event_id,event_maplink__1,event_organizer__Fundación Joan Miró,event_venue__Fundación Joan Miró,event_cost__7,event_category__Exposición__Fundación Joan Miró__Próximas inauguraciones
Joaquim Gomis. Selección fotográfica,31/10/2017,28/01/2018,https://www.fmirobcn.org/media/upload/cache/gomis_150123907062_255.jpg,"Joaquim Gomis Serdañons (Barcelona, 1902-1991) fue empresario, fotógrafo, promotor artístico y el primer presidente de la Fundació Joan Miró. Durante más de cinco décadas, desarrolló una amplia producción fotográfica, que estuvo vinculada con los posicionamientos artísticos más avanzados de su época.","sobre ""Joaquim Gomis. Selección fotográfica""",https://www.fmirobcn.org/es/exposiciones/5730/joaquim-gomis-seleccion-fotografica,/es/exposiciones/5730/joaquim-gomis-seleccion-fotografica,null,null,null,null,null
Beehave,16/02/2018,20/05/2018,https://www.fmirobcn.org/media/upload/cache/beehave_01_150116622362_255.jpg,"Con Beehave, la Fundació Joan Miró invita a sus visitantes a descubrir el potencial de la apicultura urbana y profundizar en el debate actual sobre la importancia de los insectos polinizadores","sobre ""Beehave""",https://www.fmirobcn.org/es/exposiciones/5728/beehave,/es/exposiciones/5728/beehave,null,null,null,null,null
