web-scraper-order,web-scraper-start-url,event_title2,event_start,event_text,event_image-src,event_end,event_category__Exposición__Espai Volart__Arte local__Próximas inauguraciones,event_organizer__Espai Volart,event_venue__Espai Volart,event_maplink__1,event_cost__5,event_id,event_title1,event_link,event_link-href
1518952377-29,http://www.fundaciovilacasas.com/es/calendario-exposiciones-museo/espais-volart-barcelona,Una mirada interior. Una mirada interior?,Jueves 14 | Junio  | 2018 - Domingo 22 | Julio  | 2018,null,https://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A1705363.jpg,Jueves 14 | Junio  | 2018 - Domingo 22 | Julio  | 2018,null,null,null,null,null,es/exposicion/una-mirada-interior-una-mirada-interior,,,http://www.fundaciovilacasas.com/es/exposicion/una-mirada-interior-una-mirada-interior
1518952369-21,http://www.fundaciovilacasas.com/es/calendario-exposiciones-museo/espais-volart-barcelona,Diàleg entre col·leccions: fons DKV i Fundació Vila Casas. Somiant una possibilitat,Jueves 20 | Septiembre  | 2018 - Domingo 30 | Diciembre  | 2018,null,https://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A16213752.jpg,Jueves 20 | Septiembre  | 2018 - Domingo 30 | Diciembre  | 2018,null,null,null,null,null,es/exposicion/dialeg-entre-colleccions-fons-dkv-i-fundacio-vila-casas-somiant-una-possibilitat,,,http://www.fundaciovilacasas.com/es/exposicion/dialeg-entre-colleccions-fons-dkv-i-fundacio-vila-casas-somiant-una-possibilitat
1518952375-27,http://www.fundaciovilacasas.com/es/calendario-exposiciones-museo/espais-volart-barcelona,Sobre los mismos pasos,Jueves 14 | Junio  | 2018 - Domingo 22 | Julio  | 2018,null,https://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A16990243.jpg,Jueves 14 | Junio  | 2018 - Domingo 22 | Julio  | 2018,null,null,null,null,null,es/exposicion/sobre-los-mismos-pasos,,,http://www.fundaciovilacasas.com/es/exposicion/sobre-los-mismos-pasos
