web-scraper-order,web-scraper-start-url,event_link,event_link-href,event_end,event_start,event_image-src,event_text,event_title,event_id,event_cost__7,event_maplink__1,event_category__Exposición__Fundación Antoni Tàpies__Próximas inauguraciones,event_organizer__Fundación Antoni Tàpies,event_venue__Fundación Antoni Tàpies
1518953544-184,https://www.fundaciotapies.org/site/spip.php?rubrique46,Allora & Calzadilla,https://www.fundaciotapies.org/site/spip.php?rubrique1543,- 27 de mayo de 2018,6 de febrero,IMG/arton8985.jpg,"Comisarios: Sara Nadal-Melsió i Carles Guerra







La severa vulnerabilidad climática y la masiva extracción de deuda que
sufre la isla de Puerto Rico difícilmente pueden ignorarse en tanto que
trasfondo que da un sentido político a las obras de Allora & Calzadilla.",Allora & Calzadilla,spip.php?rubrique1543,null,null,null,null,null
1518953542-183,https://www.fundaciotapies.org/site/spip.php?rubrique46,Antoni Tàpies. T de Teresa,https://www.fundaciotapies.org/site/spip.php?rubrique1546,6 de febrero – 28 de octubre 2018,6 de febrero – 28 de octubre 2018,IMG/arton8991.jpg,,Antoni Tàpies. T de Teresa,spip.php?rubrique1546,null,null,null,null,null
